index,variable,question
998,V162231,POST: Should marijuana be legal
999,V162231a,
1000,V162231b,
1001,V162231x,
1002,V162232,POST: Should gov do more or less to regulate banks
1003,V162233,POST: How much more or less should gov do to regulate banks
1004,V162234,POST: SUMMARY- Gov should do more/less to regulate banks
1005,V162235,POST: STD Abortion: Democratic Presidential cand placemt
1006,V162236,POST: STD Abortion: Republican Presidential cand placemt
1007,V162238,POST: Govt bigger because too involved OR bigger problems
1008,V162238a,POST: Need strong govt for complex problems OR free market
1009,V162238b,POST: Less govt better OR more that govt should be doing
1010,V162238x,POST: Regulation of Business
1011,V162239,POST: How does Rep Presidential candidate treat women
1012,V162240,POST: How well/poorly does Rep Presidential candidate treat women
1013,V162241,POST: SUMMARY- How does Rep Presidential candidate treat women
1014,V162242,POST: How does Dem Presidential candidate treat women
1015,V162243,POST: How well/poorly does Dem Presidential candidate treat women
1016,V162244,POST: SUMMARY- How does Dem Presidential candidate treat women
1017,V162245,POST: Important differences in what major parties stand for
1018,V162246,POST: Is one of the parties more conservative than the other
1019,V162248,POST: Which is the party that is more conservative
1020,V162249,POST: Should the minimum wage be raised
1021,V162250,POST: Increase or decrease gov spending to help people pay for health care
1022,V162251,POST: How much favor increase/decrease gov help paying for health care
1023,V162252,POST: SUMMARY- Increase/decrease gov spending for health care
1024,V162253,POST: Number of organizations in which R is a member
1025,V162253x,POST: Has R done community work in past 12 months
1026,V162254,POST: Did R attend meeting on school/community issue past 12 months
1027,V162255,POST: Has R done any volunteer work in past 12 months
1028,V162255a,POST: Has R contacted elected federal official in past 12 months
1029,V162255x,POST: Why has R contacted elected federal official
1030,V162256,POST: Has R contacted non-elected federal official in past 12 months
1031,V162257,POST: Why has R contacted non-elected federal official
1032,V162258,POST: Has R contacted elected local official in past 12 months
1033,V162259,POST: Why as R contacted elected local official
1034,V162260,POST: Has R contacted non-elected local official in past 12 months
1035,V162261,POST: Why has R contacted non-elected local official
1036,V162262,POST: Agree/disagree: world is changing and we should adjust
1037,V162263,POST: Agree/disagree: newer lifestyles breaking down society
1038,V162264,POST: Agree/disagree: be more tolerant of other moral standards
1039,V162265,POST: Agree/disagree: more emphasis on traditional family values
1040,V162266,POST: Agree/disagree: blacks shd work way up w/o special favors
1041,V162267,POST: Agree/disagree: past slavery make more diff for blacks
1042,V162268,POST: Agree/disagree: blacks have gotten less than deserve
1043,V162269,POST: Agree/disagree: blacks must try harder to get ahead
1044,V162270,POST: [STD] Publ officials don't care what people think
1045,V162271,POST: [STD] Have no say about what govt does
1046,V162272,POST: [REV] Politics/govt too complicated to understand
1047,V162273,POST: [REV] Good understanding of political issues
1048,V162274,POST: Electoral integrity: are votes counted fairly
1049,V162275,
1050,V162276,
1051,V162277,
1052,V162278,POST: Electoral integrity: do the rich buy elections
1053,V162279,POST: How important that more Hispanics get elected
1054,V162280,POST: HISPANIC: news in English or Spanish
1055,V162281,POST: HISPANIC: how much R uses English or Spanish
1056,V162282,POST: Hisp R: life be affected by what happens to Hispanics
1057,V162283,POST: Black R: life be affected by what happens to blacks
1058,V162284,POST: Asian R: life be affected by what happens to Asians
1059,V162285,POST: How important that more women get elected
1060,V162286,POST: Easier or harder for working mother to bond with child
1061,V162287,POST: How much easier for working mother to bond with child
1062,V162288,POST: How much harder for working mother to bond with child
1063,V162289,POST: SUMMARY- Working mother's bond with child
1064,V162290,POST: Better if man works and woman takes care of home
1065,V162291,POST: How much better if man works and woman at home
1066,V162292a,POST: How much worse if man works and woman at home
1067,V162293,POST: SUMMARY- Better if man works and woman takes care of home
1068,V162292b,POST: Media pay more attention to discrimination
1069,V162294,POST: How much more attn should media pay to discrim against women
1070,V162295,POST: How much less attn should media pay to discrim against women
1071,V162295a,POST: SUMMARY- How much attn media should pay to discrim against women
1072,V162295b,POST: Do women demanding equality seek special favors
1073,V162295x,POST: Do women complaining about discrim cause more problems
1074,V162296a,POST: Does R favor or oppose limits on campaign spending
1075,V162296b,POST: How much does Cong pass laws that benefit contributor organizations
1077,V162296c,POST: How much does Cong pass laws that benefit contributor individuals
1078,V162296x,POST: For or against preferential hiring/promotion of blacks
1079,V162297,POST: Strength favor preferential hiring/promotion of blacks
1080,V162298,POST: Strength oppose preferential hiring/promotion blacks
1081,V162299,POST: SUMMARY- Favor preferential hiring and promotion of blacks
1082,V162299a,POST: Child trait more important: independence or respect
1083,V162300,POST: Child trait more important: curiosity or good manners
1084,V162301,POST: Child trait more important: obedience or self-reliance
1085,V162302,POST: Child trait more important: considerate or well-behaved
1086,V162303,POST: Society should make sure everyone has equal opportunity
1087,V162304,POST: We'd be better off if worried less about equality
1088,V162305,POST: Not a big problem if some have more chance in life
1089,V162306,POST: If people were treated more fairly would be fewer probs
1090,V162307,POST: R likes to have strong opinions even when not personally involved
1091,V162308,POST: R forms opinions about everything
1092,V162309x,POST: Important for R to hold strong opinions
1093,V162310,POST: It bothers R to remain neutral
1094,V162311,POST: R has many more opinions than the average person
1095,V162312,POST: R would rather have strong opinion than no opinion
1096,V162313,POST: SUMMARY- Need to Evaluate score
1097,V162314,POST: Did the U.S. government know about 9/11 in advance
1098,V162316,POST: Is Barack Obama Muslim
1099,V162317,POST: How sure is R that Obama is/isn't Muslim
1100,V162318,
1101,V162319,
1102,V162320,
1103,V162321,POST: SUMMARY- Barack Obama is/isn't Muslim
1104,V162322,POST: R's interest in politics
1105,V162323,POST: R follows politics in media
1106,V162324,POST: R understands most important political issues
1107,V162325,POST: Compromise in politics is selling out on one's principles
1108,V162326,POST: Most politicians do not care about the people
1109,V162327,POST: Most politicians are trustworty
1110,V162328,POST: Politicians are the main problem in the U.S.
1111,V162329,POST: Strong leader is good for U.S. even if bends rules to get things done
1112,V162330,POST: People not politicians should make most important policy decisions
1113,V162331,POST: Most politicians only care about interests of rich and powerful
1114,V162332,POST: Minorities should adapt to to customs/traditions of U.S.
1115,V162333,POST: The will of the majority should always prevail
1116,V162334,POST: Immigrants are generally good for America's economy
1117,V162335,POST: America's culture is generally harmed by immigrants
1118,V162336,POST: Immigrants increase crime rates in the U.S.
1119,V162337,POST: To be truly American important to have been born in U.S.
1120,V162338,POST: To be truly American important to have American ancestry
1121,V162339,POST: To be truly American important to speak English
1122,V162340,POST: To be truly American important to follow America's customs/traditions
1123,V162341,POST: How widespread is corruption among politicians in U.S.
1124,V162342,POST: Gov should take measures to reduce differences in income levels
1125,V162343,POST: Gov done a good or bad job in last 8 years
1126,V162344,POST: Any parties in the U.S. represent R's views
1127,V162345,POST: Which party represents views best
1128,V162346,POST: CSES: State of economy
1129,V162347,POST: CSES: 5pt scale: make a difference who is in power
1130,V162348,POST: CSES: 5pt scale: make a difference who one votes for
1131,V162349,POST: CSES: 10pt scale: like-dislike Democratic Party
1132,V162350,POST: CSES: 10pt scale: like-dislike Republican Party
1133,V162351,POST: CSES: 10pt scale: like-dislike Democratic Pres cand
1134,V162352,POST: CSES: 10pt scale: like-dislike Republican Pres cand
1135,V162353,POST: CSES: 10pt scale: left-right Democratic Party
1136,V162354,POST: CSES: 10pt scale: left-right Republican Party
1137,V162355,POST: CSES: 10pt scale: left-right self placement
1138,V162356,POST: CSES: Satisfied with way democracy works in the U.S
1139,V162357,POST: CSES: Close to any political party
1140,V162358,POST: CSES: Which party R is closest to
1141,V162359,POST: CSES: Closer to one party
1142,V162360,POST: CSES: Degree closeness
1143,V162361,POST: DHS: How worried about terrorist attack in next 12 months
1144,V162362,POST: DHS: Favor or oppose torture for suspected terrorists
1145,V162363,POST: DHS: How much favor torture for suspected terrorists
1146,V162364,POST: DHS: How much oppose torture for suspected terrorists
1147,V162365,POST: SUMMARY- Favor/oppose torture for suspected terrorists
1148,V162366,POST: FTF CASI/WEB: WEB ONLY: R has any living sons or daughters
1149,V162367,POST: FTF CASI/WEB: FTF ONLY: R has any living sons or daughters (2nd mention - order)
1150,V162368,
1151,V162369,1076
1152,V162370,
1153,V162371a,
1154,V162371b,POST: FTF CASI/WEB: WEB ONLY: R has any living sons or daughters
1155,V163001a,POST: FTF CASI/WEB: FTF/WEB: SUMMARY- R has living sons or daughters
1156,V163001b,
1157,V163002,
1158,V163003,
1159,V163004,POST: FTF CASI/WEB: In past 12 months any family members stopped/questioned by police
1160,V163005,POST: FTF CASI/WEB: Has R ever been arrested
1161,V163006,POST: FTF CASI/WEB: RESTRICTED- CASI/WEB: Total income amount
1162,V163007,POST: FTF CASI/WEB:Confirm total income amount
1163,V163008,POST: FTF CASI/WEB: Total income amt missing - ge or lt 40K
1164,V164001a,POST: FTF CASI/WEB: Total income amt missing - ge or lt 20K
1165,V164001b,POST: FTF CASI/WEB: Total income amt missing - categories lt 20K
1166,V164001c,POST: FTF CASI/WEB: Total income amt missing - categories 20-40K
1167,V164001d,POST: FTF CASI/WEB: Total income amt missing - ge or lt 70K
1168,V164002,POST: FTF CASI/WEB: Total income amt missing - categories 40-70K
1169,V164002a,POST: FTF CASI/WEB: Total income amt missing - ge or lt 100K
1170,V164003,POST: FTF CASI/WEB: Total income amt missng - categories 70-100K
1171,V164003a,POST: FTF CASI/WEB: Total income amt missing - categories 100+K
1172,V164004,POST: FTF CASI/WEB: SUMMARY- Total income
1173,V164005,POST: FTF CASI/WEB: Feeling thermometer: ASIAN-AMERICANS
1174,V164006,POST: FTF CASI/WEB: Feeling thermometer: HISPANICS
1175,V164007,POST: FTF CASI/WEB: Feeling thermometer: BLACKS
1176,V164008,POST: FTF CASI/WEB: Feeling thermometer: ILLEGAL IMMIGRANTS
1177,V164009,POST: FTF CASI/WEB: Feeling thermometer: WHITES
1178,V164010,
1179,V164011,
1180,V164012,
1181,V164013,POST: FTF CASI/WEB: How important whites work together to change laws unfair to whites
1182,V165001a,
1183,V165001b,
1184,V165001c,
1185,V165001d,POST: FTF CASI/WEB: How likely whites unable to find job b/c employers hire minorities
1186,V165002,POST: FTF CASI/WEB: Federal gov treats blacks or whites better
1187,V165002a,POST: FTF CASI/WEB: How much federal gov treats blacks or whites better
1188,V165003,POST: FTF CASI/WEB: Police treat blacks or whites better
1189,V165003a,POST: FTF CASI/WEB: How much police treat blacks or whites better
1190,V165004,POST: FTF CASI/WEB: How much influence do whites have in U.S. politics
1191,V165005,POST: FTF CASI/WEB: How much influence do blacks have in U.S. politics
1192,V165006,POST: FTF CASI/WEB: How much influence do Hispanics have in U.S. politics
1193,V165007,POST: FTF CASI/WEB: How much influence do Asian-Americans have in U.S. politics
1194,V165008,POST: FTF CASI/WEB: How important is being Hispanic to identity
1195,V165009,POST: FTF CASI/WEB: How important is being White to identity
1196,V165500,POST: FTF CASI/WEB: How important is being Black to identity
1197,V165501,POST: FTF CASI/WEB: How important is being Native American to identity
1198,V165502,POST: FTF CASI/WEB: How important is being Asian to identity
1199,V165503,POST: FTF CASI/WEB: How important is being Pacific Islander to identity
1200,V165504,POST: FTF CASI/WEB: How important is being American to identity
1201,V165505,"POST: FTF CASI/WEB: TIPI extraverted, enthusiastic"
1202,V165506,"POST: FTF CASI/WEB: TIPI critical, quarrelsome"
1203,V165507,"POST: FTF CASI/WEB: TIPI dependable, self-disciplined"
1204,V165508,"POST: FTF CASI/WEB: TIPI anxious, easily upset"
1205,V165509,POST: FTF CASI/WEB: TIPI open to new experiences
1206,V165510,"POST: FTF CASI/WEB: TIPI reserved, quiet"
1207,V165511,
1208,V165512,SAMPLE VARIABLES
1209,V165513,PRE ADMIN VARIABLES
1210,V165514,
1211,V165515,"POST: FTF CASI/WEB: TIPI sympathetic, warm"
1212,V165516,"POST: FTF CASI/WEB: TIPI disorganized, careless"
1213,V165517,"POST: FTF CASI/WEB: TIPI calm, emotionally stable"
1214,V165518,"POST: FTF CASI/WEB: TIPI conventional, uncreative"
1215,V165519,POST: FTF CASI/WEB: How hard is it for R to control temper
1216,V165520,"POST: FTF CASI/WEB: When provoked, how likely for R to hit someone"
1217,V165521,POST: FTF CASI/WEB: stereotype: Whites hardworking
1218,V165522,POST: FTF CASI/WEB: Stereotype: Blacks hardworking
1219,V165523,POST: FTF CASI/WEB: Stereotype: Hispanics hardworking
1220,V165524,POST: FTF CASI/WEB: Stereotype: Asians hardworking
1221,V165525,POST: FTF CASI/WEB: stereotype: Whites violent
1222,V165526,POST: FTF CASI/WEB: Stereotype: Blacks violent
1223,V165527,POST: FTF CASI/WEB: Stereotype: Hispanics violent
1224,V165528,POST: FTF CASI/WEB: Stereotype: Asians violent
1225,V165529,POST: FTF CASI/WEB: Stereotype: Muslims violent
1226,V165530,POST: FTF CASI/WEB: Stereotype: Christians violent
1227,V165531,POST: FTF CASI/WEB: Stereotype: Muslims patriotic
1228,V165532,POST: FTF CASI/WEB: Stereotype: Christians patriotic
1229,V165533,POST: FTF CASI/WEB: Discrimination in the U.S. against Blacks
1230,V165534,POST: FTF CASI/WEB: Discrimination in the U.S. against Hispanics
1231,V165535,POST: FTF CASI/WEB: Discrimination in the U.S. against Asian-Americans
1232,V165536,POST: FTF CASI/WEB: Discrimination in the U.S. against Whites
1233,V165537,POST: FTF CASI/WEB: Discrimination in the U.S. against Gays and Lesbians
1234,V165538,POST: FTF CASI/WEB: Discrimination in the U.S. against Women
1235,V165539,POST: FTF CASI/WEB: Discrimination in the U.S. against Men
1236,V165540,POST: FTF CASI/WEB: Discrimination in the U.S. against Muslims
1237,V165541,POST: FTF CASI/WEB: Discrimination in the U.S. against Christians
1238,V165542,POST: FTF CASI/WEB: Discrimination in the U.S. against Transgender
1239,V165543,POST: FTF CASI/WEB: How much discrimination has R faced personal
1240,V165544,POST: FTF CASI/WEB: R rate own skintone
1241,V165545,POST: FTF CASI/WEB: Discrimination due to skintone
1242,V165546,POST: FTF CASI/WEB: Facebook account used recently
1243,V165547,POST: FTF CASI/WEB: WEB ONLY: Facebook login
1244,V165548,POST: FTF CASI/WEB: WEB ONLY: Facebook login reconsider
1245,V165549,SAMPLE: Sample location FIPS state
1246,V165550,SAMPLE: Sample location state postal abbreviation
1247,V165551,SAMPLE: Sample location Congressional district (115th Congress)
1248,V165552,SAMPLE: Census region
1249,V165553,SAMPLE: Time zone (majority of state)
1250,V165554,SAMPLE: RESTRICTED: County FIPS code
1251,V165555,SAMPLE: RESTRICTED: County name
1252,V165556,SAMPLE: RESTRICTED: Zip code
1253,V165557,SAMPLE: RESTRICTED: Census tract
1254,V165558,PRE ADMIN: Pre Web device logins: smartTV
1255,V165559,PRE ADMIN: Pre Web device logins: phone
1257,V165560,
1258,V165561,
1259,V165562,
1260,V165563,PRE ADMIN: Pre Web device logins: tablet
1261,V165564,PRE ADMIN: Pre Web device logins: desktop/laptop
1262,V165565,PRE ADMIN: Beginning date of Pre IW (YYYYMMDD)
1263,V165566,PRE ADMIN: Date IWR first opened IW in CAPI (YYYYMMDD)
1264,V165567,PRE ADMIN: Beginning time of Pre IW (HHMMSS)
1265,V165568,PRE ADMIN: Time IWR first opened IW in CAPI (HHMMSS)
1266,V165569,PRE ADMIN: Ending date of Pre IW (YYYYMMDD)
1267,V165570,PRE ADMIN: Ending time of Pre IW (HHMMSS)
1268,V165571,PRE ADMIN: Elapsed time interview start to end (minutes)
1269,V165572,PRE ADMIN: Pre interview language
1270,V165573,PRE ADMIN: FTF Initial incentive offer
1271,V165574,PRE ADMIN: FTF pre incentive paid
1272,V165575,
1273,V165576,PRE ADMIN: Predicted probabilities of response by block group calculated from response score
1274,V165577,PRE ADMIN: Internet prepaid incentive
1275,V165578,PRE ADMIN: Internet screener respondent incentive paid
1276,V165579,PRE ADMIN: Internet respondent incentive paid (pre-election)
1277,V165580,POST ADMIN VARIABLES
1278,V165581,POST ADMIN: Post Web device logins: smartTV
1279,V165582,POST ADMIN: Post Web device logins: phone
1280,V165583,POST ADMIN: Post Web device logins: tablet
1281,V165584,POST ADMIN: Post Web device logins: desktop/laptop
1282,V165585,POST ADMIN: Beginning date of Post IW (YYYYMMDD)
1283,V165586,POST ADMIN: Date IWR first opened IW in CAPI (YYYYMMDD)
1284,V165587,POST ADMIN: Beginning time of Post IW (HHMMSS)
1285,V165588,POST ADMIN: Time IWR first opened IW in CAPI (HHMMSS)
1286,V165589,POST ADMIN: Ending date of Post IW (YYYYMMDD)
1287,V165590,POST ADMIN: Ending time of Post IW (HHMMSS)
1288,V165591,POST ADMIN: Elapsed time interview start to end (minutes)
1289,V165592,POST ADMIN: Post interview language
1290,V165593,POST ADMIN: FTF post incentive paid
1291,V165594,POST ADMIN: Internet respondent incentive paid (post-election)
1292,V165595,FTF SCREENER VARIABLES
1293,V165596,FTF SCREENER: Initial incentive offer [V164008 expanded for full FTF sample]
1294,V165597,FTF SCREENER: Screener completed
1295,V165598,FTF SCREENER: Random number generated
1296,V165599,FTF SCREENER: INTRO3. Intro text read
1297,V165600,RESTRICTED. FTF SCREENER: S2. Number of adults live here
1298,V165601,FTF SCREENER: Number of adults live here - topcoded
1299,V165602,FTF SCREENER: S2A. Any children under 18
1300,V165603,FTF SCREENER: SCRN_CIT_S. Screener R citizenship
1301,V165604,FTF SCREENER: SCRN_SEX_S. Screener R sex
1302,V165605,RESTRICTED. FTF SCREENER: SCRN_AGE_S. Screener R age
1303,V165606,FTF SCREENER: Screener R age categories
1304,V165607,FTF SCREENER: SCRN_EDUC_S. Screener R education
1305,V165608,FTF SCREENER: S3. Continue to roster
1306,V165609,FTF SCREENER: SCRN_RES. Roster 1 [Screener R] residency
1307,V165700,
1308,V165701,
1309,V165702,
1310,V165703,FTF SCREENER: SCRN_SEX. Roster 1 [Screener R] sex
1311,V165704,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 1 [Screener R] age
1312,V165705,FTF SCREENER: Roster 1 age categories
1313,V165706,FTF SCREENER: CONFIRM2. Roster 1 [Screener R] confirm age
1314,V165707,FTF SCREENER: ELIG_CKAGE. Roster 1 [Screener R] age check
1315,V165708,FTF SCREENER: SCRN_CIT. Roster 1 [Screener R] citizenship
1316,V165709,FTF SCREENER: SCRN_EDUC. Roster 1 [Screener R] education
1317,V165710,FTF SCREENER: SCRN_RES. Roster 2 residency
1318,V165711,FTF SCREENER: SCRN_SEX. Roster 2 sex
1319,V165712,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 2 age
1320,V165713,FTF SCREENER: Roster 2 age categories
1321,V165714,FTF SCREENER: CONFIRM2. Roster 2 confirm age
1322,V165715,FTF SCREENER: ELIG_CKAGE. Roster 2 age check
1323,V165716,FTF SCREENER: SCRN_CIT. Roster 2 citizenship
1324,V165717,FTF SCREENER: SCRN_EDUC. Roster 2 education
1325,V165718,FTF SCREENER: SCRN_RES. Roster 3 residency
1326,V165719,FTF SCREENER: SCRN_SEX. Roster 3 sex
1327,V165720,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 3 age
1328,V165721,FTF SCREENER: Roster 3 age categories
1329,V165722,FTF SCREENER: CONFIRM2. Roster 3 confirm age
1330,V165723,FTF SCREENER: ELIG_CKAGE. Roster 3 age check
1331,V165724,FTF SCREENER: SCRN_CIT. Roster 3 citizenship
1332,V165725,FTF SCREENER: SCRN_EDUC. Roster 3 education
1333,V165726,FTF SCREENER: SCRN_RES. Roster 4 residency
1334,V165727,FTF SCREENER: SCRN_SEX. Roster 4 sex
1335,V165728,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 4 age
1336,V165729,FTF SCREENER: Roster 4 age categories
1337,V165730,FTF SCREENER: CONFIRM2. Roster 4 confirm age
1338,V165731,FTF SCREENER: ELIG_CKAGE. Roster 4 age check
1339,V165732,FTF SCREENER: SCRN_CIT. Roster 4 citizenship
1340,V165733,FTF SCREENER: SCRN_EDUC. Roster 4 education
1341,V165734,FTF SCREENER: SCRN_RES. Roster 5 residency
1342,V165735,FTF SCREENER: SCRN_SEX. Roster 5 sex
1343,V165736,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 5 age
1344,V165737,FTF SCREENER: Roster 5 age categories
1345,V165738,FTF SCREENER: CONFIRM2. Roster 5 confirm age
1346,V165739,FTF SCREENER: ELIG_CKAGE. Roster 5 age check
1347,V165740,FTF SCREENER: SCRN_CIT. Roster 5 citizenship
1348,V165741,FTF SCREENER: SCRN_EDUC. Roster 5 education
1349,V165742,FTF SCREENER: SCRN_RES. Roster 6 residency
1350,V165743,FTF SCREENER: SCRN_SEX. Roster 6 sex
1351,V165744,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 6 age
1352,V165745,FTF SCREENER: Roster 6 age categories
1353,V165746,FTF SCREENER: CONFIRM2. Roster 6 confirm age
1354,V165747,FTF SCREENER: ELIG_CKAGE. Roster 6 age check
1355,V165748,FTF SCREENER: SCRN_CIT. Roster 6 citizenship
1356,V165749,FTF SCREENER: SCRN_EDUC. Roster 6 education
1357,V165750,
1358,V165751,1256
1359,V165752,
1360,V165753,
1361,V165754,FTF SCREENER: SCRN_RES. Roster 7 residency
1362,V165755,FTF SCREENER: SCRN_SEX. Roster 7 sex
1363,V165756,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 7 age
1364,V165757,FTF SCREENER: Roster 7 age categories
1365,V165758,FTF SCREENER: CONFIRM2. Roster 7 confirm age
1366,V165759,FTF SCREENER: ELIG_CKAGE. Roster 7 age check
1367,V165760,FTF SCREENER: SCRN_CIT. Roster 7 citizenship
1368,V165761,FTF SCREENER: SCRN_EDUC. Roster 7 education
1369,V165762,FTF SCREENER: SCRN_RES. Roster 8 residency
1370,V165763,FTF SCREENER: SCRN_SEX. Roster 8 sex
1371,V165764,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 8 age
1372,V165765,FTF SCREENER: Roster 8 age categories
1373,V165766,FTF SCREENER: CONFIRM2. Roster 8 confirm age
1374,V165767,FTF SCREENER: ELIG_CKAGE. Roster 8 age check
1375,V165768,FTF SCREENER: SCRN_CIT. Roster 8 citizenship
1376,V165769,FTF SCREENER: SCRN_EDUC. Roster 8 education
1377,V165770,FTF SCREENER: SCRN_RES. Roster 9 residency
1378,V165771,FTF SCREENER: SCRN_SEX. Roster 9 sex
1379,V165772,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 9 age
1380,V165773,FTF SCREENER: Roster 9 age categories
1381,V165774,FTF SCREENER: CONFIRM2. Roster 9 confirm age
1382,V165775,FTF SCREENER: ELIG_CKAGE. Roster 9 age check
1383,V165776,FTF SCREENER: SCRN_CIT. Roster 9 citizenship
1384,V165777,FTF SCREENER: SCRN_EDUC. Roster 9 education
1385,V165778,FTF SCREENER: Confirm no one missing from roster
1386,V165779,FTF SCREENER: Home is rented or owned
1387,V165780,FTF SCREENER: Any other person who receives mail here
1388,V165781,FTF SCREENER: Address of any hidden households
1389,V165782,FTF SCREENER: No one eligible from screener logic
1390,V165783,FTF SCREENER: Screener R selected for Pre
1391,V165784,FTF SCREENER: Is selected R (not screener) available
1392,V165785,FTF SCREENER: Did informant give legitimate SP phone number
1393,V165786,FTF SCREENER: Is the phone provided a cell phone
1394,V165787,FTF SCREENER: May we use text message at phone provided
1395,V165788,FTF SCREENER: Can selected person conduct interview in English
1396,V165789,FTF SCREENER: Can selected person conduct interview in Spanish
1397,V165790,FTF SCREENER: End screener
1398,V165791,FTF SCREENER: Was screener administered in English or Spanish
1399,V165792,RESTRICTED. FTF SCREENER: Selected person age
1400,V165793,FTF SCREENER: Selected person age categories
1401,V165794,FTF SCREENER: Selected person language
1402,V165795,FTF SCREENER: Number of adults in HH - summary
1403,V165796,FTF SCREENER: Number of eligible U.S. Citizen adults in HH - summary
1404,V165797,FTF SCREENER: Selection is Nth citizen listed in roster
1405,V165798,FTF SCREENER: Selection is Nth person listed in roster
1406,V165799,FTF SCREENER: Roster position selected for Pre (final summary)
1407,V165800,FTF SCREENER: Roster size
1408,V165801,
1409,V165802,"FTF SCREENER: Selection for Pre, Detailed"
1410,V165803,FTF SCREENER: Screener R selected for Pre
1411,V165804,WEB SCREENER VARIABLES
1412,V165805,WEB SCREENER: Screener completed
1413,V165806,WEB SCREENER: WEB screener check amount for Rs not selected for Pre
1414,V165807,WEB SCREENER: Interview start date (yyyymmdd)
1415,V165808,WEB SCREENER: Interview start time (hhmmss)
1416,V165809,WEB SCREENER: Interview end date (yyyymmdd)
1417,V165810,WEB SCREENER: Interview end time (hhmmss)
1418,V166001,WEB SCREENER: Question displayed when interview ended
1419,V166002,WEB SCREENER: Seed value
1420,V166003,WEB SCREENER: Interview engine version
1421,V166004,WEB SCREENER: Language of screener
1422,V166005,WEB SCREENER: S3. Address verification
1423,V166006,WEB SCREENER: S4. Nonresident
1424,V166007,WEB SCREENER: S5. Number of adults
1425,V166008,WEB SCREENER: S5a. Unusually large household
1426,V166009,WEB SCREENER: S5b1. Other living arrangement
1427,V166010,RESTRICTED. WEB SCREENER: S5b3. How many people in building
1428,V166011,WEB SCREENER: S5b3. How many people in building - topcoded
1429,V166012,WEB SCREENER: S5b4. Home have its own kitchen
1430,V166013,WEB SCREENER: S5b5. Pay rent or have another arrangement
1431,V166014,WEB SCREENER: S5d. Number of adults above 2
1432,V166015,WEB SCREENER: S6. HH citizenship
1433,V166016,WEB SCREENER: S6a. Singleton citizenship
1434,V166017,WEB SCREENER: S6b. R citizenship
1435,V166018,WEB SCREENER: S7. Gender
1436,V166019,WEB SCREENER: S8. Adult check
1437,V166020,WEB SCREENER: S10. CAMPINTSTD. Interest in campaigns
1438,V166021,WEB SCREENER: S10. PRESVTLAST. 2012 Turnout
1439,V166022,WEB SCREENER: S10. REGIST. Voter registration
1440,V166023,WEB SCREENER: S10. REGPTY. Party of registration
1441,V166024,RESTRICTED. WEB SCREENER: S10. REGPTY. Party of registration - Other
1442,V166025,RESTRICTED. WEB SCREENER: S10. FINFAM. Number of family members living with R
1443,V166026,WEB SCREENER: S10. FINFAM_x. Number of family members living with R - topcoded
1444,V166027,WEB SCREENER: S10. RHEALTH. Health
1445,V166028,WEB SCREENER: S10. Party Order. Randomization for party order
1446,V166029,WEB SCREENER: S10. RPTYID. 3-point party ID
1447,V166030,RESTRICTED. WEB SCREENER: S10. RPTYID_5. 3-point party ID - Other
1448,V166031,RESTRICTED. WEB SCREENER: S10. BIRTHYR. Year of birth
1449,V166032,WEB SCREENER: S10. BIRTHYR. Year of birth - topcoded
1450,V166033,RESTRICTED. WEB SCREENER: S10. BIRTHMO. Month of birth
1451,V166034,WEB SCREENER: S10. MARITAL. Marital status
1452,V166035,WEB SCREENER: S10. PARTN. Partnership status
1453,V166036,WEB SCREENER: S10. EDUCR. Educational attainment
1454,V166037,RESTRICTED. WEB SCREENER: S10. EDUCR. Educational attainment - Other
1455,V166038,WEB SCREENER: S10. EDUCSP. Spouse/partner educational attainment
1456,V166039,
1457,V166040,
1458,V166041,
1459,V166042,RESTRICTED. WEB SCREENER: S10. EDUCSP. Spouse/partner educ attainment - Other
1460,V166043,WEB SCREENER: S10. HISP. Ethnicity
1461,V166044,WEB SCREENER: S10. RACECPS1. White
1462,V166045,WEB SCREENER: S10. RACECPS2. Black or African-American
1463,V166046,WEB SCREENER: S10. RACECPS3. American Indian or Alaska Native
1464,V166047,WEB SCREENER: S10. RACECPS4. Asian
1465,V166048,WEB SCREENER: S10. RACECPS5. Native Hawaiian or other Pacific Islander
1466,V166049,WEB SCREENER: S10. RACECPS6. Other
1467,V166050,RESTRICTED. WEB SCREENER: S10. RACECPS95. Other - description
1468,V166051,WEB SCREENER: S10. OWNHOME. Home tenure
1469,V166052,RESTRICTED. WEB SCREENER: S10. LENADDR. Years at address
1470,V166053,WEB SCREENER: S10. LENADDR. Years at address - categories
1471,V166054,RESTRICTED. WEB SCREENER: S10. TOTINC. Family income
1472,V166055,WEB SCREENER: S10. TOTINC. Family income - categories
1473,V166056,WEB SCREENER: S10. TOTMISS40. Family income category
1474,V166057,WEB SCREENER: S101. Gender for roster person 1
1475,V166058,WEB SCREENER: S101. Gender for roster person 2
