varname,summary
postvote_regincnty,POST: Is R registered to vote in preload county (residence)
postvote_regyrs3cat,POST: How long has R been registered at location (collapsed)
postvote_regyrsfull,POST: RESTRICTED: How long has R been registered at location (full)
postvote_regname,POST: Name under which R is registered to vote
postvote_regpty_state,POST: Does recorded state of registration have party registration
postvote_regpty,POST: Party of registration
postvote_regpty_oth,POST: RESTRICTED: Other specify- Party of registration
postvote_rvote,POST: Did R vote in the November general election
rvote2012_x,PREPOST SUMMARY: Did R vote in November general election
postvote_ckbcard,POST: Is Post Ballot Card correct (IF FTF: IWR CHECKPOINT)
postvote_ballotcolor,POST: FTF ONLY: Assigned color for Ballot Card (if displayed)
postvote_presvt,POST: Did R vote for President
postvote_presvtwho,POST: For whom did R vote for President
presvote2012_x,PREPOST SUMMARY: For whom did R vote for President in 2012
postvote_presvtwho_oth,POST: Other specify- For whom did R vote for President
postvote_presstr,POST: Preference strong for Pres cand for whom R voted
postvote_vtpresdec,POST: How long before election R made decision Pres vote
postvote_vtpresdec_dkrf,POST: FTF ONLY: How lng bef electn made decisn Pres vt: DK/RF selectd
postvote_prefpres,POST: Does R prefer Pres cand
postvote_prefprwho,POST: Preference for Pres cand
postvote_prefprwho_oth,POST: Other specify- Preference for Pres cand
postvote_prefprstr,POST: Preference strong for Pres cand
postvote_votehs,POST: Did R vote for U.S. House of Representatives
postvote_hsvtbc,POST: For whom did R vote for U.S. House (Ballot Card)
postvote_hsvtnobc,POST: For whom did R vote for U.S. House (no Ballot Card)
hsevote2012_x,PREPOST SUMMARY: For whom did R vote for U.S. House in 2012
postvote_hspref,POST: Does R prefer U.S. House candidate
postvote_hsprefbc,POST: Whom does R prefer for U.S. House (Ballot Card)
postvote_hsprefnobc,POST: Whom does R prefer for U.S. House (no Ballot Card)
postvote_senhhstate,POST: FTF ONLY: Senate election in state of residence
postvote_senregstate,POST: FTF ONLY: Sen elctn reg state (R not reg at resid Pre or Post)
postvote_votesen,POST: Did R vote for U.S. Senate
postvote_vtsenbc,POST: R’s vote for U.S. Senate (Ballot Card)
postvote_vtsennobc,POST: R’s vote for U.S. Senate (no Ballot Card)
senvote2012_x,PREPOST SUMMARY: For whom did R vote for U.S. Senate in 2012
postvote_senpref,POST: Does R prefer U.S. Senate candidate
postvote_senprefbc,POST: Whom does R prefer for U.S. Senate (Ballot Card)
postvote_senprefnobc,POST: Whom does R prefer for U.S. Senate (no Ballot Card)
postvote_govhhstate,POST: FTF ONLY: Gubernatorial election in state of residence
postvote_govregstate,POST: FTF ONLY: Gov elctn reg state (R not reg at resid Pre or Post)
postvote_votegov,POST: Did R vote for gubernatorial candidate
postvote_vtgovbc,POST: R’s vote for governor (Ballot Card)
postvote_vtgovnobc,POST: R’s vote for governor (no Ballot Card)
govvote2012_x,PREPOST SUMMARY: For whom did R vote for Governer in 2012
postvote_govpref,POST: Does R prefer gubernatorial candidate
postvote_govprefbc,POST: Whom does R prefer for governor (Ballot Card)
postvote_govprefnobc,POST: Whom does R prefer for governor (no Ballot Card)
ptywom_bettrpty,POST: Party does better job for the interests of women
ofcrec_speaker,POST: Office recognition: Speaker of the House Boehner
ofcrec_speaker_correct,POST: Office recognition: Correct for Speaker of the House Boehner
ofcrec_speaker_probe,POST: FTF ONLY: Office recognition probe: Speaker of the House Boehner
ofcrec_vp,POST: Office recognition: Vice-President Biden
ofcrec_vp_correct,POST: Office recognition: Correct for Vice-President Biden
ofcrec_vp_probe,POST: FTF ONLY: Office recognition probe: Vice-President Biden
ofcrec_pmuk,POST: Office recognition: Prime Minister of UK Cameron
ofcrec_pmuk_correct,POST: Office recognition: Correct for Prime Minister of UK Cameron
ofcrec_pmuk_probe,POST: FTF ONLY: Office recognition probe: Prime Minister of UK Cameron
ofcrec_cj,POST: Office recognition: US Supreme Ct Chief Justice Roberts
ofcrec_cj_correct,POST: Office recognition: Correct for US Supreme Ct Chief Justice Roberts
ofcrec_cj_probe,POST: FTF ONLY: Office recognition probe: US Supreme Ct Chief Justice
ftpo_pres,POST: Feeling thermometer: Democratic Presidential candidate
ftpo_rpc,POST: Feeling thermometer: Republican Presidential candidate
ftpo_rpcsp,POST: Feeling thermometer: spouse of Republican Presidential cand
ftpo_dpcsp,POST: Feeling thermometer: spouse of Democratic Presidential cand
ftpo_hdc,POST: Feeling thermometer: HOUSE DEMOCRATIC CANDIDATE
ftpo_hrc,POST: Feeling thermometer: HOUSE REPUBLICAN CANDIDATE
ftpo_hoth,POST: Feeling thermometer: HOUSE IND/3rd-PARTY CANDIDATE
ftpo_sdc,POST: Feeling thermometer: SENATE DEMOCRATIC CANDIDATE
ftpo_src,POST: Feeling thermometer: SENATE REPUBLICAN CANDIDATE
ftpo_soth,POST: Feeling thermometer: SENATE IND/3rd-PARTY CANDIDATE
ftpo_sensr,POST: Feeling thermometer: SR. SENATOR IN STATE WITHOUT RACE
ftpo_senjr,POST: Feeling thermometer: JR. SENATOR IN STATE WITHOUT RACE
ftpo_sennot,POST: Feeling thermometer: NONRUNNING SENATOR IN STATE W/RACE
ftpo_dvpc,POST: Feeling thermometer: Democratic Vice Presidential cand
ftpo_rvpc,POST: Feeling thermometer: Republican Vice Presidential cand
ftpo_roberts,POST: Feeling thermometer: John Roberts
ftgr_xfund,POST: Feeling thermometer: CHRISTIAN FUNDAMENTALISTS
ftgr_catholics,POST: Feeling thermometer: CATHOLICS
ftgr_feminists,POST: Feeling thermometer: FEMINISTS
ftgr_fedgov,POST: Feeling thermometer: FEDERAL GOVERNMENT IN WASHINGTON
ftgr_liberals,POST: Feeling thermometer: LIBERALS
ftgr_middle,POST: Feeling thermometer: MIDDLE CLASS PEOPLE
ftgr_unions,POST: Feeling thermometer: LABOR UNIONS
ftgr_poor,POST: Feeling thermometer: POOR PEOPLE
ftgr_military,POST: Feeling thermometer: THE MILITARY
ftgr_bigbus,POST: Feeling thermometer: BIG BUSINESS
ftgr_welfare,POST: Feeling thermometer: PEOPLE ON WELFARE
ftgr_cons,POST: Feeling thermometer: CONSERVATIVES
ftgr_working,POST: Feeling thermometer: WORKING CLASS PEOPLE
ftgr_ussc,POST: Feeling thermometer: THE U.S. SUPREME COURT
ftgr_gay,POST: Feeling thermometer: GAY MEN AND LESBIANS
ftgr_congress,POST: Feeling thermometer: CONGRESS
ftgr_rich,POST: Feeling thermometer: RICH PEOPLE
ftgr_muslims,POST: Feeling thermometer: MUSLIMS
ftgr_xian,POST: Feeling thermometer: CHRISTIANS
ftgr_atheists,POST: Feeling thermometer: ATHEISTS
ftgr_mormons,POST: Feeling thermometer: MORMONS
ftgr_tea,POST: Feeling thermometer: TEA PARTY
hseinc_approval,POST: Approve or disapprove of House incumbent
hseinc_appstr,POST: How much approve House incumbent
hseinc_disstr,POST: How much disapprove House incumbent
hseinc_approval_x,POST: SUMMARY- House incumbent approval
hseinc_hinctouch,POST: How good a job does House incumbent do in district
mip_problem1,POST: Mention 1 most important problems facing the country
mip_prob1_dkrf,POST: FTF ONLY: DK/RF selectd- 1st most import probs to USA (no text)
mip_prob1pty,POST: Party to deal with mention 1 MIP
mip_problem2,POST: Mention 2 most important problems facing the country
mip_prob2_dkrf,POST: FTF ONLY: DK/RF selectd- 2nd most import probs to USA (no text)
mip_prob2pty,POST: Party to deal with mention 2 MIP
mip_problem3,POST: Mention 3 most important problems facing the country
mip_prob3_dkrf,POST: FTF ONLY: DK/RF selectd- 3rd most import probs to USA (no text)
mip_prob3pty,POST: Party to deal with mention 3 MIP
mip_mostproblem,POST: Which among mentions is the most important problem
mip_mostprob_dkrf,POST: FTF ONLY: DK/RF slctd- most among import probs 2 USA (no text)
securpub_secchg,POST: Changes in security at public places
knowl_housemaj,POST: Know party with most members in House before election
knowl_senmaj,POST: Know party with most members in Senate before electn
wpres_gdbd,POST: Women President in next 20 years
wpres_gdstr,POST: How good would it be if we had a woman President
wpres_bdstr,POST: How bad would it be if we had a woman President
wpres_gdbd_x,POST: SUMMARY- How good/bad woman Pres in next 20yrs
wpres_importyes,POST: Important that woman elected president – Good
wpres_importno,POST: Important that woman elected president –Bad
budget_deficit,POST: Favor or oppose reducing federal deficit
budget_deficitfav,POST: How strongly favor reducing deficit
budget_deficitopp,POST: How strongly oppose reducing deficit
budget_deficitlean,POST: Lean to favor or oppose deficit reduction
budget_deficit_x,POST: SUMMARY- Favor reducing the Federal budget deficit
budget_defimp,POST: Importance of reducing deficit
budget_rdef250k,POST: Reduce deficit by raising personal inc tax for over 250K inc
budget_rdefmed,POST: Reduce deficit by replacing medicare with voucher system
budget_rdefctax,POST: Reduce deficit by increasing corporate taxes
budget_rdefmil,POST: Reduce deficit by cutting military spending
budget_rdefemp,POST: Reduce deficit by cutting fed employees by 10 percent
budget_rdefgov,POST: Reduce deficit by cutting govt activities excluding military
patriot_flag,POST: Emotion seeing flag fly
patriot_love,POST: Love of country
patriot_amident,POST: Important being American
milln_milltax,POST: Favor or oppose tax on millionaires
milln_milltaxst,POST: How strongly favor/oppose
milln_milltax_x,POST: SUMMARY- Favor tax on millionaires
fairjob_opin,POST: Opinion about govt ensuring fair jobs for blacks
fairjob_opin_oth,POST: Other specify- opinion about fair jobs
fairjob_yes,POST: How much feel govt should ensure fair jobs for blacks
fairjob_no,POST: How much feel govt not ensure fair jobs for blacks
fairjob_opin_x,POST: SUMMARY- Opinion about govt ensuring fair jobs for blacks
imports_limit,POST: Favor or oppose limits on foreign imports
israel_support,POST: Is U.S. too supportive of Israel or not supportive enough
immigpo_level,POST: What should immigration levels be
immigpo_jobs,POST: How likely immigration will take away jobs
hlthlaw_qual,POST: Health Care Law effect on health care services
hlthlaw_num,POST: Health Care Law effect on number insured
iran_nukdev,POST: Iran trying to develop nuclear weapons
iran_nukdip,POST: Try to stop Iranian nuclear dev: direct diplomatic talks
iran_nuksanct,POST: Try to stop Iranian nuclear dev: increase sanctions
iran_nuksite,POST: Try to stop Iranian nuclear dev: bomb development sites
iran_nukeinvd,POST: Try to stop Iranian nuclear dev: invade with U.S. troops
china_econ,POST: Effect of China’s economic expansion on U.S.
china_mil,POST: China military threat
ecperil_putoffmed,POST: Put off checkup and vaccines
ecperil_payhlthcst,POST: Will you pay all costs
ecperil_worry,POST: Worry about financial situation
ecperil_home,POST: Home tenure
ecperil_payany,POST: Any payments for home for non-owners non-renters
ecperil_payhouse,POST: Able to make housing payments
ecperil_lostjobs,POST: Anyone lost jobs
libcpo_self,POST: 7pt scale liberal-Conservate: self placement
libcpo_selfch,"POST: If had to choose, liberal or conservative"
libcpo_hdc,POST: 7pt scale liberal-conservative: Democratic House cand
libcpo_hrc,POST: 7pt scale liberal-conservative: Republican House cand
science_use,POST: How oft shd govt use scientific methods to solve imp probs
abort_dpc4,POST: STD Abortion: Democratic Presidential cand placemt
abort_dpc4_oth,POST: Other specify- abortion placement of Dem Pres cand
abort_rpc4,POST: STD Abortion: Republican Presidential cand placemt
abort_rpc4_oth,POST: Other specify- abortion placement of Rep Pres cand
abort_dem4,POST: STD Abortion: Democratic party placement
abort_dem4_oth,POST: Other specify- abortion placement of Dem party
abort_rep4,POST: STD Abortion: Republican party placement
abort_rep4_oth,POST: Other specify- abortion placement of Rep party
abort_health,POST: REV Abortion: R favor/oppose legal when nonfatal health risk
abort_healthfav,POST: REV How much R favor abortion legal for nonfatal health risk
abort_healthopp,POST: REV How much R oppose abortn legal for nonfatal health risk
abort_healthln,POST: REV R lean favor/opp abortion legal for nonfatal health risk
abort_health_x,POST: SUMMARY- Favor abortion legal for nonfatal health risk of mother
abort_fatal,POST: REV Abortion: R favor/oppose legal when fatal health risk
abort_fatalfav,POST: REV How much R favor abortion legal for fatal health risk
abort_fatalopp,POST: REV How much R oppose abortion legal for fatal health risk
abort_fatalln,POST: REV R lean favor/oppose abortion legal for fatal health risk
abort_fatal_x,POST: SUMMARY- Favor abortion legal for fatal risk of mother
abort_incest,POST: REV Abortion: R favor/oppose legal in incest cases
abort_incestfav,POST: REV How much R favor abortion legal in incest cases
abort_incestopp,POST: REV How much R oppose abortion legal in incest cases
abort_incestln,POST: REV R lean favor/oppose abortion legal in incest cases
abort_incest_x,POST: SUMMARY- Favor abortion legal for cases of incest
abort_rape,POST: REV Abortion: R favor/oppose legal in rape cases
abort_rapefav,POST: REV How much R favor abortion legal in rape cases
abort_rapeopp,POST: REV How much R oppose abortion legal in rape cases
abort_rapelean,POST: REV R lean favor/oppose abortion legal in rape cases
abort_rape_x,POST: SUMMARY- Favor abortion legal for cases of rape
abort_bd,POST: REV Abortion: R favor/oppose legal in birth defect cases
abort_bdfav,POST: REV How much R favor abortion legal in birth defect cases
abort_bdopp,POST: REV How much R oppose abortion legal in birth defect cases
abort_bdln,POST: REV R lean favor/oppose abortion legal in birth defect case
abort_bd_x,POST: SUMMARY- Favor abortion legal for cases of birth defect
abort_fin,POST: REV Abortion: R favor/oppose legal in financial hardshp cases
abort_finfav,POST: REV How much R favor abortion legal in finan hardship cases
abort_finopp,POST: REV How much R oppose abortion legal in finan hardship cases
abort_finln,POST: REV Lean fav/oppose abortion legal in finan hardship cases
abort_fin_x,POST: SUMMARY- Favor abortion legal for cases of financial hardship
abort_sex,POST: REV Abortion: R favor/oppose legal to select child gender
abort_sexfav,POST: REV How much R favor abortn legal to select child gender
abort_sexopp,POST: REV How much R oppose abortn legal to select child gender
abort_sexln,POST: REV R lean favor/opp abortn legal to select child gender
abort_sex_x,POST: SUMMARY- Favor abortion legal to select child gender
abort_choice,POST: Abortion: favor/oppose legal as woman’s choice
abort_choicefav,POST: How much R favor abortion legal as woman’s choice
abort_choiceopp,POST: How much R oppose abortn legal as woman’s choice
abort_choiceln,POST: R lean favor/opp abortion legal as woman’s choice
abort_choice_x,POST: SUMMARY- Favor abortion legal as woman’s choice
wiretap_warrant,POST: Favor or oppose court auth for terr suspect wiretaps
outsource_enc,POST: Should govt encourage/discourage outsourcing
outsource_encst,POST: How much should govt encourage/discourage outsourcing
outsource_enc_x,POST: SUMMARY- Encourage outsourcing of jobs
ssinv_invest,POST: Favor or oppose Social Security in stocks and bonds
ssinv_invfav,POST: How much favor Social Security in stocks and bonds
ssinv_invopp,POST: How much oppose Social Security in stocks and bonds
ssinv_invln,POST: R lean favor or oppose Social Security in stocks and bonds
ssinv_invest_x,POST: SUMMARY- Favor Social Security investment in stocks and bonds
neonull_strule,POST: Favor or oppose state decision whether federal law applies
neonull_strulest,POST: How much favor/opp state decision whether fed law applies
neonull_strule_x,POST: SUMMARY- Favor state decision when federal law applies to state
pot_legal,POST: Should marijuana be legal
govrole_big,POST: Govt bigger because too involved OR bigger problems
govrole_market,POST: Need strong govt for complex problems OR free market
govrole_lessmore,POST: Less govt better OR more that govt should be doing
govrole_regbus,POST: Regulation of Business
discuss_disc,POST: Ever discuss politics with family or friends
discuss_discpstwk,POST: Days in past week discussed politics
mormon_xn,POST: Mormon a Christian religion
mormon_known,POST: Mormon people you know
mormon_beliefs,POST: Mormon common beliefs with self
factor_rpcrel,POST: Pres cand aversion-pref factor: Mitt Romney’s Mormon relig
factor_dpcrace,POST: Pres cand aversion-pref factor: Barack Obama’s race
factor_ahcare,POST: Pcand factor: the Affordable Health Care Act or ‘Obamacare’
factor_econ,POST: Pres cand aversion-pref factor: the economy
factor_fpol,POST: Pres cand aversion-pref factor: foreign policy
factor_dpcrel,POST: Pres cand aversion-preference factor: Dem Pres cand relig
factor_rpcwlth,POST: Pres cand aversion-preference factor: Mitt Romney’s wealth
factor_pcdem,POST: Pres cand aver-pref factor: the fact that Obama is Democrat
factor_pcrep,POST: Pres cand aver-pref factor:the fact that Romney is Republican
ptydiff_diff,POST: Important differences in what major parties stand for
ptycons_cons,POST: Is one of the parties more conservative than the other
ptycons_ptyconswh,POST: Which is the party that is more conservative
tarp_favopp,POST: Does R favor or oppose the TARP program
tarp_favoppst,POST: How much does R favor or oppose the TARP program
tarp_favopp_x,POST: SUMMARY- Favor the TARP program
scourt_elim,POST: Do away with the Supreme Court
scourt_elimstr,POST: Do away with court – strength
scourt_elimln,POST: Do away with court – lean
scourt_elim_x,POST: SUMMARY- Should the Supreme Court be done away with
scourt_remove,POST: Remove Supreme Court Judges
scourt_removestr,POST: Remove Supreme Court Judges — strength
scourt_removeln,POST: Remove Supreme Court Judges – lean
scourt_remove_x,POST: SUMMARY- Should it be possible to remove Supreme Ct judges
involv_communwk,POST: Has R done community work in past 12 months
involv_govoffic,POST: Has R contacted official to express view in past 12 mo
involv_commmtg,POST: Did R attend meeting on school/community issue past 12 mo
involv_numorgs,POST: Number of organizations in which R is a member
involv_voltr,POST: Has R done any volunteer work in past 12 months
involv_charity,POST: Has R contributed to church or charity in past 12 mo
link_black,POST: Black R: life be affected by what happens to blacks
link_blackamt,POST: Black R: how much life affected by what happens to blacks
link_hisp,POST: Hisp R: life be affected by what happens to Hispanics
link_hispamt,POST: Hisp R: how much life affected by what happens to Hisps
link_white,POST: White R: life be affected by what happens to whites
link_whiteamt,POST: White R: how much life affected by what happens to whites
link_wom,POST: Female R: life be affected by what happens to women
link_womamt,POST: Female R: how much life affected by what happens to women
link_oth,POST: Life affected by what happens to other people
link_othamt,POST: How much life affected by what happens to others
trad_adjust,POST: Agree/disagree: world is changing and we should adjust
trad_lifestyle,POST: Agree/disagree: newer lifestyles breaking down society
trad_tolerant,POST: Agree/disagree: be more tolerant of other moral stds
trad_famval,POST: Agree/disagree: more emphasis on traditional family values
resent_workway,POST: Agree/disagree: blacks shd work way up w/o special favors
resent_slavery,POST: Agree/disagree: past slavery make more diff for blacks
resent_deserve,POST: Agree/disagree: blacks have gotten less than deserve
resent_try,POST: Agree/disagree: blacks must try harder to get ahead
trustgvpo_crook,POST: How many in government are crooked
efficpo_complicstd,POST: [STD] Politics/govt too complicated to understand
efficpo_undstd,POST: [STD] Good understanding of political issues
efficpo_carestd,POST: [STD] Publ officials don’t care what people think
efficpo_saystd,POST: [STD] Have no say about what govt does
efficpo_complicrev,POST: [REV] Politics/govt too complicatd to understand
efficpo_undrev,POST: [REV] Good understanding of political issues
efficpo_carerev,POST: [REV] Publ officials don’t care what peopl think
efficpo_sayrev,POST: [REV] Have no say about what govt does
efficpo_bothside,POST: How often see both disagreeing parties as right
electintpo_countfair,POST: Electoral integrity Post: are votes counted fairly
electintpo_jrnlfair,POST: Electoral integrity Post: is journalist coverage fair
electintpo_elecofffair,POST: Electoral integrity Post: are election officials fair
electintpo_richbuy,POST: Electoral integrity Post: do the rich buy elections
electintpo_votechc,POST: Electoral integrity Post: do voters have a genuine choice
women_bond,POST: Easier or harder for working mother to bond with child
women_bondea,POST: How much easier for working mother to bond with child
women_bondha,POST: How much harder for working mother to bond with child
women_bond_x,POST: SUMMARY- Working mother’s bond with child
women_works,POST: Better if man works and woman takes care of home
women_worksbetter,POST: How much better if man works and woman at home
women_worksworse,POST: How much worse if man works and woman at home
women_works_x,POST: SUMMARY- Better if man works and woman takes care of home
modsex_discamt,POST: Discrimination against women
modsex_media,POST: Media pay more attention to discrimination
modsex_mediamore,POST: How much more attn should media pay to discrim against women
modsex_medialess,POST: How much less attn should media pay to discrim against women
modsex_media_x,POST: SUMMARY- How much attn media should pay to discrim against women
modsex_special,POST: Do women demanding equality seek special favors
modsex_disc,POST: How often do hiring and promotion discriminate agst women
modsex_prob,POST: Do women complaining about discrim cause more problems
modsex_oppor,POST: Do women or men have more opport for achievmt in the U.S.
modsex_menmore,POST: How much more opportunities for achievement do men have
modsex_wommore,POST: How much more opportunities for achievement do women have
modsex_oppor_x,POST: SUMMARY- Opportunities compared for women and men
aapost_hire,POST: For or against preferential hiring/promotion of blacks
aapost_hire_oth,POST: Other specify – for or against pref hiring/promotion of blacks
aapost_hirefav,POST: Strength favor preferential hiring/promotion of blacks
aapost_hireopp,POST: Strength oppose preferential hiring/promotion blacks
aapost_hire_x,POST: SUMMARY- Favor preferential hiring and promotion of blacks
auth_ind,POST: Child trait more important: independence or respect
auth_cur,POST: Child trait more important: curiosity or good manners
auth_obed,POST: Child trait more important: obedience or self-reliance
auth_consid,POST: Child trait more important: considerate or well-behaved
egal_equal,POST: Society should make sure everyone has equal opportunity
egal_toofar,POST: We have gone too far pushing equal rights
egal_bigprob,POST: Its a big problem that we dont give equal chance to succeed
egal_worryless,POST: We’d be better off if worried less about equality
egal_notbigprob,POST: Not a big problem if some have more chance in life
egal_fewerprobs,POST: If people were treated more fairly would be fewer probs
wiretappo_toofar,POST: Has increase in govt wiretap powers gone too far
cog_opinions,"POST: Does R have opinions about many, some or few things"
cog_opin,POST: Does R have fewer or more opinions than average person
cog_opinfew,POST: R have a lot or somewhat fewer opinions than average
cog_opinmore,POST: R have a lot or somewhat more opinions than average
cog_opin_x,POST: SUMMARY- Number of opinions R has compared to average person
nonmain_born,POST: Was the President born in the U.S.
nonmain_endlife,POST: Does Health Care Act authorize end-of-life decision
nonmain_govt911,POST: DId the U.S. government know about 9/11 in advance
nonmain_bias,POST: Does the Administration favor blacks or whites
nonmain_hurric,POST: Did the govt direct Katrina flooding into poor areas
cses_exphlth,POST: CSES: Public expenditure Health
cses_expeduc,POST: CSES: Public expenditure: eduction
cses_expunemp,POST: CSES: Public expenditure: unemployment benefits
cses_expdef,POST: CSES: Public expenditure: defense
cses_expss,POST: CSES: Public expenditure: pensions
cses_expbusind,POST: CSES: Public expenditure: business and industry
cses_exppolc,POST: CSES: Public expenditure: police and law enforcement
cses_expwelf,POST: CSES: Public expenditure: welfare benefits
cses_impstdliv,POST: CSES: CSES: Improving standard of living
cses_econ,POST: CSES: State of economy
cses_econb,POST: CSES: State of economy better
cses_econw,POST: CSES: State of economy worse
cses_govtact,POST: CSES: Govt action income inequality
cses_diffpower,POST: CSES: 5pt scale: make a difference who is in power
cses_diffvote,POST: CSES: 5pt scale: make a difference who one votes for
cses_dptylike,POST: CSES: 10pt scale: like-dislike Democratic Party
cses_rptylike,POST: CSES: 10pt scale: like-dislike Republican Party
cses_rpclike,POST: CSES: 10pt scale: like-dislike Republican Pres cand
cses_dpclike,POST: CSES: 10pt scale: like-dislike Democratic Pres cand
cses_dptyleft,POST: CSES: 10pt scale: left-right Democratic Party
cses_rptyleft,POST: CSES: 10pt scale: left-right Republican Party
cses_selfleft,POST: CSES: 10pt scale: left-right self placement
cses_satisdem,POST: CSES: Satisfied with way democracy works in the U.S
cses_closepty,POST: CSES: Close to any political party
cses_ptymore,POST: CSES: Closer to one party
cses_ptyclost,POST: CSES: Which party R is closest to
cses_ptyclost_oth,POST: RESTRICTED: CSES: Party closest to
cses_degclose,POST: CSES: Degree closeness
cses_contct,POST: CSES: Mobilization: institutional contact
cses_ftf,POST: CSES: Mobilization: institutional contact – in person
cses_mail,POST: CSES: Mobilization: institutional contact – by mail
cses_phone,POST: CSES: Mobilization: institutional contact – by phone
cses_txtmsg,POST: CSES: Mobilization: institutional contact – text messaging
cses_email,POST: CSES: Mobilization: institutional contact – email
cses_socnet,POST: CSES: Mobilization: institutional contact – social network
cses_ptycont_1st,POST: FTF ONLY: CSES: Mobilization: institutional contact mention 1
cses_ptycont_2nd,POST: FTF ONLY: CSES: Mobilization: institutional contact mention 2
cses_ptycont_3rd,POST: FTF ONLY: CSES: Mobilization: institutional contact mention 3
cses_ptycont_4th,POST: FTF ONLY: CSES: Mobilization: institutional contact mention 4
cses_ptycont_5th,POST: FTF ONLY: CSES: Mobilization: institutional contact mention 5
cses_ptycont_dc,POST: CSES: Mobilization: institutional contact Democratic candidate
cses_ptycont_rc,POST: CSES: Mobilization: institutional contact Republican candidate
cses_ptycont_dp,POST: CSES: Mobilization: institutional contact Democratic party
cses_ptycont_rp,POST: CSES: Mobilization: institutional contact Republican party
cses_ptycont_othcont,POST: CSES: Mobilization: institutional contact Other
cses_ptycont_oth,POST: Other Specify- CSES Mobilization: institutional contact
cses_ptycont_dkrf,POST: FTF ONLY: CSES: Mobilization: institutional contact DK/RF
cses_persuade,POST: CSES: Mobilization: personal contact
cses_persftf,POST: CSES: Mobilization: personal contact – in person
cses_persmail,POST: CSES: Mobilization: personal contact – by mail
cses_persph,POST: CSES: Mobilization: personal contact – by phone
cses_perstxt,POST: CSES: Mobilization: personal contact – text message
cses_perseml,POST: CSES: Mobilization: personal contact – email
cses_persweb,POST: CSES: Mobilization: personal contact – social network
cses_mobph,POST: CSES: Mobilization: sign up online information or alerts
cses_poliinfone,POST: CSES: Political information – Secy Treasury
cses_polinftwo_rate,POST: CSES: Political information – number used for unemployment rate
cses_polinftwo_date,POST: CSES: Political information – date used for date of unempl rate
cses_polinftwo,POST: CSES: Political information – unemployment rate
cses_poliinfthree,POST: CSES: Political information – party 2nd in House seats won
cses_poliinffour,POST: CSES: Political information – Secy of the U.N.
cses_increduc,POST: CSES: Household income in next 12 months
cses_ownresid,POST: CSES: Ownership: residence
cses_ownoth,POST: CSES: Ownership: real estate
cses_ownstck,POST: CSES: Ownership: stocks or bonds
cses_ownsavg,POST: CSES: Ownership: savings
cses_diffjob,POST: CSES: R find another job
cses_spdiffjb,POST: CSES: Spouse/partner find another job
dhs_threat,POST: DHS: Does federal govt pose a threat to citizens
dhs_threatamt,POST: DHS: How much of a threat does federal govt pose to citizens
dhs_appterr,POST: DHS: Approve/disappr govt efforts to reduce terrorism
dhs_appterrmch,POST: DHS: How much approve efforts to reduce terrorism
dhs_disterrmch,POST: DHS: How much disapprove efforts to reduce terrorism
dhs_attack,POST: DHS: Likely terrorist attack killing 100/more in nxt yr
dhs_torture,POST: DHS: Favor or oppose torture for suspected terrorists
dhs_torturefav,POST: DHS: How much favor torture for suspected terrorists
dhs_tortureopp,POST: DHS: How much oppose torture for suspected terrorists
pohisp_hispnews,POST: HISPANIC: news in English or Spanish
pohisp_hispnews_oth,POST: HISPANIC: Other specify- news in English or Spanish
pohisp_uselang,POST: HISPANIC: how much R uses English or Spanish
pohisp_renglish,POST: HISPANIC : not English-only -converse well in English
pohisp_renglish_oth,POST: HISPANIC: Oth spec- how well speak in English (not English only)
pohisp_rspanish,POST: HISPANIC: not Spanish-only: converse well in Spanish
pohisp_rspanish_oth,POST: HISPANIC: Oth spec- how well speak in Spanish (not Spanish only)
pohisp_keepspan,POST: HISPANIC: how important to speak Spanish
pohisp_readeng,POST: HISPANIC: how impt to read and write English in U.S.
pohisp_speakeng,POST: HISPANIC: how important to speak English in US
pohisp_impassim,POST: HISPANIC: how important to blend in
pohisp_impdistinct,POST: HISPANIC: how important to maintain culture
pohisp_cnctcntry,POST: HISPANIC: how often contact with ancestral country
pohisp_viscntry,POST: HISPANIC: how often visit ancestral country
pohisp_moneycntry,POST: HISPANIC: how often send money ancestral country
pohisp_polcntry,POST: HISPANIC: attn to politics in ancestral country
pohisp_votecntry,POST: HISPANIC: did R ever vote in ancestral country
casistartpo_iwrset4,POST: FTF CASI ONLY: SETUP TEST- Does R have a dog
casistartpo_iwrset6,POST: FTF CASI ONLY: SETUP TEST- What R ate for breakfast
ftcasi_asian,POST: CASI/WEB: Feeling thermometer: ASIAN-AMERICANS
ftcasi_hisp,POST: CASI/WEB: Feeling thermometer: HISPANICS
ftcasi_black,POST: CASI/WEB: Feeling thermometer: BLACKS
ftcasi_illegal,POST: CASI/WEB: Feeling thermometer: ILLEGAL IMMIGRANTS
ftcasi_white,POST: CASI/WEB: Feeling thermometer: WHITES
racecasi_infwhite,POST: CASI/WEB: How much influence do whites have in U.S. politics
racecasi_infblacks,POST: CASI/WEB: How much influence do blacks have in U.S. politics
racecasi_infhisp,POST: CASI/WEB: How much influence do Hisp have in U.S. politics
racecasi_sympblacks,POST: CASI/WEB: How often has felt sympathy for blacks
racecasi_admblacks,POST: CASI/WEB: How often has felt admiration for blacks
ident_hispid,POST: CASI/WEB: How important is being Hispanic to identity
ident_whiteid,POST: CASI/WEB: How important is being White to identity
ident_blackid,POST: CASI/WEB: How important is being Black to identity
