index,variable,question
952,V162192,POST: Which is the party that is more conservative
953,V162193,POST: Should the minimum wage be raised
954,V162193a,POST: Increase or decrease gov spending to help people pay for health care
955,V162193x,POST: How much favor increase/decrease gov help paying for health care
956,V162194,POST: SUMMARY- Increase/decrease gov spending for health care
957,V162195,POST: Number of organizations in which R is a member
958,V162196,POST: Has R done community work in past 12 months
959,V162197,POST: Did R attend meeting on school/community issue past 12 months
960,V162198,POST: Has R done any volunteer work in past 12 months
961,V162199a,POST: Has R contacted elected federal official in past 12 months
962,V162200,POST: Why has R contacted elected federal official
963,V162201a,POST: Has R contacted non-elected federal official in past 12 months
964,V162202,POST: Why has R contacted non-elected federal official
965,V162203a,POST: Has R contacted elected local official in past 12 months
966,V162204,POST: Why as R contacted elected local official
967,V162205a,POST: Has R contacted non-elected local official in past 12 months
968,V162207,POST: Why has R contacted non-elected local official
969,V162208,POST: Agree/disagree: world is changing and we should adjust
970,V162209,POST: Agree/disagree: newer lifestyles breaking down society
971,V162210,POST: Agree/disagree: be more tolerant of other moral standards
972,V162211,POST: Agree/disagree: more emphasis on traditional family values
973,V162212,POST: Agree/disagree: blacks shd work way up w/o special favors
974,V162213,POST: Agree/disagree: past slavery make more diff for blacks
975,V162214,POST: Agree/disagree: blacks have gotten less than deserve
976,V162215,POST: Agree/disagree: blacks must try harder to get ahead
977,V162216,POST: [STD] Publ officials don't care what people think
978,V162217,POST: [STD] Have no say about what govt does
979,V162218,POST: [REV] Politics/govt too complicated to understand
980,V162219,POST: [REV] Good understanding of political issues
981,V162220,POST: Electoral integrity: are votes counted fairly
982,V162221,POST: Electoral integrity: do the rich buy elections
983,V162222,POST: How important that more Hispanics get elected
984,V162223,POST: HISPANIC: news in English or Spanish
985,V162224,POST: HISPANIC: how much R uses English or Spanish
986,V162225,POST: Hisp R: life be affected by what happens to Hispanics
987,V162226,POST: Black R: life be affected by what happens to blacks
988,V162227,POST: Asian R: life be affected by what happens to Asians
989,V162228,POST: How important that more women get elected
990,V162229a,POST: Easier or harder for working mother to bond with child
991,V162229b,POST: How much easier for working mother to bond with child
992,V162229x,POST: How much harder for working mother to bond with child
993,V162230,POST: SUMMARY- Working mother's bond with child
994,V162230a,POST: Better if man works and woman takes care of home
995,V162230b,POST: How much better if man works and woman at home
996,V162230x,POST: How much worse if man works and woman at home
997,V162231,POST: SUMMARY- Better if man works and woman takes care of home
998,V162231a,POST: Media pay more attention to discrimination
999,V162231b,POST: How much more attn should media pay to discrim against women
1000,V162231x,POST: How much less attn should media pay to discrim against women
1001,V162232,POST: SUMMARY- How much attn media should pay to discrim against women
1002,V162233,POST: Do women demanding equality seek special favors
1003,V162234,POST: Do women complaining about discrim cause more problems
1004,V162235,POST: Does R favor or oppose limits on campaign spending
1005,V162236,POST: How much does Cong pass laws that benefit contributor organizations
1006,V162238,POST: How much does Cong pass laws that benefit contributor individuals
1007,V162238a,POST: For or against preferential hiring/promotion of blacks
1008,V162238b,POST: Strength favor preferential hiring/promotion of blacks
1009,V162238x,POST: Strength oppose preferential hiring/promotion blacks
1010,V162239,POST: SUMMARY- Favor preferential hiring and promotion of blacks
1011,V162240,POST: Child trait more important: independence or respect
1012,V162241,POST: Child trait more important: curiosity or good manners
1013,V162242,POST: Child trait more important: obedience or self-reliance
1014,V162243,POST: Child trait more important: considerate or well-behaved
1015,V162244,POST: Society should make sure everyone has equal opportunity
1016,V162245,POST: We'd be better off if worried less about equality
1017,V162246,POST: Not a big problem if some have more chance in life
1018,V162248,POST: If people were treated more fairly would be fewer probs
1019,V162249,POST: R likes to have strong opinions even when not personally involved
1020,V162250,POST: R forms opinions about everything
1021,V162251,POST: Important for R to hold strong opinions
1022,V162252,POST: It bothers R to remain neutral
1023,V162253,POST: R has many more opinions than the average person
1024,V162253x,POST: R would rather have strong opinion than no opinion
1025,V162254,POST: SUMMARY- Need to Evaluate score
1026,V162255,POST: Did the U.S. government know about 9/11 in advance
1027,V162255a,POST: Is Barack Obama Muslim
1028,V162255x,POST: How sure is R that Obama is/isn't Muslim
1029,V162256,POST: SUMMARY- Barack Obama is/isn't Muslim
1030,V162257,POST: R's interest in politics
1031,V162258,POST: R follows politics in media
1032,V162259,POST: R understands most important political issues
1033,V162260,POST: Compromise in politics is selling out on one's principles
1034,V162261,POST: Most politicians do not care about the people
1035,V162262,POST: Most politicians are trustworty
1036,V162263,POST: Politicians are the main problem in the U.S.
1037,V162264,POST: Strong leader is good for U.S. even if bends rules to get things done
1038,V162265,POST: People not politicians should make most important policy decisions
1039,V162266,POST: Most politicians only care about interests of rich and powerful
1040,V162267,POST: Minorities should adapt to to customs/traditions of U.S.
1041,V162268,POST: The will of the majority should always prevail
1042,V162269,POST: Immigrants are generally good for America's economy
1043,V162270,POST: America's culture is generally harmed by immigrants
1044,V162271,POST: Immigrants increase crime rates in the U.S.
1045,V162272,POST: To be truly American important to have been born in U.S.
1046,V162273,POST: To be truly American important to have American ancestry
1047,V162274,POST: To be truly American important to speak English
1048,V162275,POST: To be truly American important to follow America's customs/traditions
1049,V162276,POST: How widespread is corruption among politicians in U.S.
1050,V162277,POST: Gov should take measures to reduce differences in income levels
1051,V162278,POST: Gov done a good or bad job in last 8 years
1052,V162279,POST: Any parties in the U.S. represent R's views
1053,V162280,POST: Which party represents views best
1054,V162281,POST: CSES: State of economy
1055,V162282,POST: CSES: 5pt scale: make a difference who is in power
1056,V162283,POST: CSES: 5pt scale: make a difference who one votes for
1057,V162284,POST: CSES: 10pt scale: like-dislike Democratic Party
1058,V162285,POST: CSES: 10pt scale: like-dislike Republican Party
1059,V162286,POST: CSES: 10pt scale: like-dislike Democratic Pres cand
1060,V162287,POST: CSES: 10pt scale: like-dislike Republican Pres cand
1061,V162288,POST: CSES: 10pt scale: left-right Democratic Party
1062,V162289,POST: CSES: 10pt scale: left-right Republican Party
1063,V162290,POST: CSES: 10pt scale: left-right self placement
1064,V162291,POST: CSES: Satisfied with way democracy works in the U.S
1065,V162292a,POST: CSES: Close to any political party
1066,V162293,POST: CSES: Which party R is closest to
1067,V162292b,POST: CSES: Closer to one party
1068,V162294,POST: CSES: Degree closeness
1069,V162295,POST: DHS: How worried about terrorist attack in next 12 months
1070,V162295a,POST: DHS: Favor or oppose torture for suspected terrorists
1071,V162295b,POST: DHS: How much favor torture for suspected terrorists
1072,V162295x,POST: DHS: How much oppose torture for suspected terrorists
1073,V162296a,POST: SUMMARY- Favor/oppose torture for suspected terrorists
1074,V162296b,POST: FTF CASI/WEB: WEB ONLY: R has any living sons or daughters
1075,V162296c,POST: FTF CASI/WEB: FTF ONLY: R has any living sons or daughters (2nd mention - order)
1077,V162296x,1076
1078,V162297,POST: FTF CASI/WEB: WEB ONLY: R has any living sons or daughters
1079,V162298,POST: FTF CASI/WEB: FTF/WEB: SUMMARY- R has living sons or daughters
1080,V162299,POST: FTF CASI/WEB: In past 12 months any family members stopped/questioned by police
1081,V162299a,POST: FTF CASI/WEB: Has R ever been arrested
1082,V162300,POST: FTF CASI/WEB: RESTRICTED- CASI/WEB: Total income amount
1083,V162301,POST: FTF CASI/WEB:Confirm total income amount
1084,V162302,POST: FTF CASI/WEB: Total income amt missing - ge or lt 40K
1085,V162303,POST: FTF CASI/WEB: Total income amt missing - ge or lt 20K
1086,V162304,POST: FTF CASI/WEB: Total income amt missing - categories lt 20K
1087,V162305,POST: FTF CASI/WEB: Total income amt missing - categories 20-40K
1088,V162306,POST: FTF CASI/WEB: Total income amt missing - ge or lt 70K
1089,V162307,POST: FTF CASI/WEB: Total income amt missing - categories 40-70K
1090,V162308,POST: FTF CASI/WEB: Total income amt missing - ge or lt 100K
1091,V162309x,POST: FTF CASI/WEB: Total income amt missng - categories 70-100K
1092,V162310,POST: FTF CASI/WEB: Total income amt missing - categories 100+K
1093,V162311,POST: FTF CASI/WEB: SUMMARY- Total income
1094,V162312,POST: FTF CASI/WEB: Feeling thermometer: ASIAN-AMERICANS
1095,V162313,POST: FTF CASI/WEB: Feeling thermometer: HISPANICS
1096,V162314,POST: FTF CASI/WEB: Feeling thermometer: BLACKS
1097,V162316,POST: FTF CASI/WEB: Feeling thermometer: ILLEGAL IMMIGRANTS
1098,V162317,POST: FTF CASI/WEB: Feeling thermometer: WHITES
1099,V162318,POST: FTF CASI/WEB: How important whites work together to change laws unfair to whites
1100,V162319,POST: FTF CASI/WEB: How likely whites unable to find job b/c employers hire minorities
1101,V162320,POST: FTF CASI/WEB: Federal gov treats blacks or whites better
1102,V162321,POST: FTF CASI/WEB: How much federal gov treats blacks or whites better
1103,V162322,POST: FTF CASI/WEB: Police treat blacks or whites better
1104,V162323,POST: FTF CASI/WEB: How much police treat blacks or whites better
1105,V162324,POST: FTF CASI/WEB: How much influence do whites have in U.S. politics
1106,V162325,POST: FTF CASI/WEB: How much influence do blacks have in U.S. politics
1107,V162326,POST: FTF CASI/WEB: How much influence do Hispanics have in U.S. politics
1108,V162327,POST: FTF CASI/WEB: How much influence do Asian-Americans have in U.S. politics
1109,V162328,POST: FTF CASI/WEB: How important is being Hispanic to identity
1110,V162329,POST: FTF CASI/WEB: How important is being White to identity
1111,V162330,POST: FTF CASI/WEB: How important is being Black to identity
1112,V162331,POST: FTF CASI/WEB: How important is being Native American to identity
1113,V162332,POST: FTF CASI/WEB: How important is being Asian to identity
1114,V162333,POST: FTF CASI/WEB: How important is being Pacific Islander to identity
1115,V162334,POST: FTF CASI/WEB: How important is being American to identity
1116,V162335,"POST: FTF CASI/WEB: TIPI extraverted, enthusiastic"
1117,V162336,"POST: FTF CASI/WEB: TIPI critical, quarrelsome"
1118,V162337,"POST: FTF CASI/WEB: TIPI dependable, self-disciplined"
1119,V162338,"POST: FTF CASI/WEB: TIPI anxious, easily upset"
1120,V162339,POST: FTF CASI/WEB: TIPI open to new experiences
1121,V162340,"POST: FTF CASI/WEB: TIPI reserved, quiet"
1122,V162341,"POST: FTF CASI/WEB: TIPI sympathetic, warm"
1123,V162342,"POST: FTF CASI/WEB: TIPI disorganized, careless"
1124,V162343,"POST: FTF CASI/WEB: TIPI calm, emotionally stable"
1125,V162344,"POST: FTF CASI/WEB: TIPI conventional, uncreative"
1126,V162345,POST: FTF CASI/WEB: How hard is it for R to control temper
1127,V162346,"POST: FTF CASI/WEB: When provoked, how likely for R to hit someone"
1128,V162347,POST: FTF CASI/WEB: stereotype: Whites hardworking
1129,V162348,POST: FTF CASI/WEB: Stereotype: Blacks hardworking
1130,V162349,POST: FTF CASI/WEB: Stereotype: Hispanics hardworking
1131,V162350,POST: FTF CASI/WEB: Stereotype: Asians hardworking
1132,V162351,POST: FTF CASI/WEB: stereotype: Whites violent
1133,V162352,POST: FTF CASI/WEB: Stereotype: Blacks violent
1134,V162353,POST: FTF CASI/WEB: Stereotype: Hispanics violent
1135,V162354,POST: FTF CASI/WEB: Stereotype: Asians violent
1136,V162355,POST: FTF CASI/WEB: Stereotype: Muslims violent
1137,V162356,POST: FTF CASI/WEB: Stereotype: Christians violent
1138,V162357,POST: FTF CASI/WEB: Stereotype: Muslims patriotic
1139,V162358,POST: FTF CASI/WEB: Stereotype: Christians patriotic
1140,V162359,POST: FTF CASI/WEB: Discrimination in the U.S. against Blacks
1141,V162360,POST: FTF CASI/WEB: Discrimination in the U.S. against Hispanics
1142,V162361,POST: FTF CASI/WEB: Discrimination in the U.S. against Asian-Americans
1143,V162362,POST: FTF CASI/WEB: Discrimination in the U.S. against Whites
1144,V162363,POST: FTF CASI/WEB: Discrimination in the U.S. against Gays and Lesbians
1145,V162364,POST: FTF CASI/WEB: Discrimination in the U.S. against Women
1146,V162365,POST: FTF CASI/WEB: Discrimination in the U.S. against Men
1147,V162366,POST: FTF CASI/WEB: Discrimination in the U.S. against Muslims
1148,V162367,POST: FTF CASI/WEB: Discrimination in the U.S. against Christians
1149,V162368,POST: FTF CASI/WEB: Discrimination in the U.S. against Transgender
1150,V162369,POST: FTF CASI/WEB: How much discrimination has R faced personal
1151,V162370,POST: FTF CASI/WEB: R rate own skintone
1152,V162371a,POST: FTF CASI/WEB: Discrimination due to skintone
1153,V162371b,POST: FTF CASI/WEB: Facebook account used recently
1154,V163001a,POST: FTF CASI/WEB: WEB ONLY: Facebook login
1155,V163001b,POST: FTF CASI/WEB: WEB ONLY: Facebook login reconsider
1156,V163002,SAMPLE: Sample location FIPS state
1157,V163003,SAMPLE: Sample location state postal abbreviation
1158,V163004,SAMPLE: Sample location Congressional district (115th Congress)
1159,V163005,SAMPLE: Census region
1160,V163006,SAMPLE: Time zone (majority of state)
1161,V163007,SAMPLE: RESTRICTED: County FIPS code
1162,V163008,SAMPLE: RESTRICTED: County name
1163,V164001a,SAMPLE: RESTRICTED: Zip code
1164,V164001b,SAMPLE: RESTRICTED: Census tract
1165,V164001c,PRE ADMIN: Pre Web device logins: smartTV
1166,V164001d,PRE ADMIN: Pre Web device logins: phone
1167,V164002,PRE ADMIN: Pre Web device logins: tablet
1168,V164002a,PRE ADMIN: Pre Web device logins: desktop/laptop
1169,V164003,PRE ADMIN: Beginning date of Pre IW (YYYYMMDD)
1170,V164003a,PRE ADMIN: Date IWR first opened IW in CAPI (YYYYMMDD)
1171,V164004,PRE ADMIN: Beginning time of Pre IW (HHMMSS)
1172,V164005,PRE ADMIN: Time IWR first opened IW in CAPI (HHMMSS)
1173,V164006,PRE ADMIN: Ending date of Pre IW (YYYYMMDD)
1174,V164007,PRE ADMIN: Ending time of Pre IW (HHMMSS)
1175,V164008,PRE ADMIN: Elapsed time interview start to end (minutes)
1176,V164009,PRE ADMIN: Pre interview language
1177,V164010,PRE ADMIN: FTF Initial incentive offer
1178,V164011,PRE ADMIN: FTF pre incentive paid
1179,V164012,PRE ADMIN: Predicted probabilities of response by block group calculated from response score
1180,V164013,PRE ADMIN: Internet prepaid incentive
1181,V165001a,PRE ADMIN: Internet screener respondent incentive paid
1182,V165001b,PRE ADMIN: Internet respondent incentive paid (pre-election)
1183,V165001c,POST ADMIN: Post Web device logins: smartTV
1184,V165001d,POST ADMIN: Post Web device logins: phone
1185,V165002,POST ADMIN: Post Web device logins: tablet
1186,V165002a,POST ADMIN: Post Web device logins: desktop/laptop
1187,V165003,POST ADMIN: Beginning date of Post IW (YYYYMMDD)
1188,V165003a,POST ADMIN: Date IWR first opened IW in CAPI (YYYYMMDD)
1189,V165004,POST ADMIN: Beginning time of Post IW (HHMMSS)
1190,V165005,POST ADMIN: Time IWR first opened IW in CAPI (HHMMSS)
1191,V165006,POST ADMIN: Ending date of Post IW (YYYYMMDD)
1192,V165007,POST ADMIN: Ending time of Post IW (HHMMSS)
1193,V165008,POST ADMIN: Elapsed time interview start to end (minutes)
1194,V165009,POST ADMIN: Post interview language
1195,V165500,POST ADMIN: FTF post incentive paid
1196,V165501,POST ADMIN: Internet respondent incentive paid (post-election)
1197,V165502,FTF SCREENER: Initial incentive offer [V164008 expanded for full FTF sample]
1198,V165503,FTF SCREENER: Screener completed
1199,V165504,FTF SCREENER: Random number generated
1200,V165505,FTF SCREENER: INTRO3. Intro text read
1201,V165506,RESTRICTED. FTF SCREENER: S2. Number of adults live here
1202,V165507,FTF SCREENER: Number of adults live here - topcoded
1203,V165508,FTF SCREENER: S2A. Any children under 18
1204,V165509,FTF SCREENER: SCRN_CIT_S. Screener R citizenship
1205,V165510,FTF SCREENER: SCRN_SEX_S. Screener R sex
1206,V165511,RESTRICTED. FTF SCREENER: SCRN_AGE_S. Screener R age
1207,V165512,FTF SCREENER: Screener R age categories
1208,V165513,FTF SCREENER: SCRN_EDUC_S. Screener R education
1209,V165514,FTF SCREENER: S3. Continue to roster
1210,V165515,FTF SCREENER: SCRN_RES. Roster 1 [Screener R] residency
1211,V165516,FTF SCREENER: SCRN_SEX. Roster 1 [Screener R] sex
1212,V165517,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 1 [Screener R] age
1213,V165518,FTF SCREENER: Roster 1 age categories
1214,V165519,FTF SCREENER: CONFIRM2. Roster 1 [Screener R] confirm age
1215,V165520,FTF SCREENER: ELIG_CKAGE. Roster 1 [Screener R] age check
1216,V165521,FTF SCREENER: SCRN_CIT. Roster 1 [Screener R] citizenship
1217,V165522,FTF SCREENER: SCRN_EDUC. Roster 1 [Screener R] education
1218,V165523,FTF SCREENER: SCRN_RES. Roster 2 residency
1219,V165524,FTF SCREENER: SCRN_SEX. Roster 2 sex
1220,V165525,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 2 age
1221,V165526,FTF SCREENER: Roster 2 age categories
1222,V165527,FTF SCREENER: CONFIRM2. Roster 2 confirm age
1223,V165528,FTF SCREENER: ELIG_CKAGE. Roster 2 age check
1224,V165529,FTF SCREENER: SCRN_CIT. Roster 2 citizenship
1225,V165530,FTF SCREENER: SCRN_EDUC. Roster 2 education
1226,V165531,FTF SCREENER: SCRN_RES. Roster 3 residency
1227,V165532,FTF SCREENER: SCRN_SEX. Roster 3 sex
1228,V165533,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 3 age
1229,V165534,FTF SCREENER: Roster 3 age categories
1230,V165535,FTF SCREENER: CONFIRM2. Roster 3 confirm age
1231,V165536,FTF SCREENER: ELIG_CKAGE. Roster 3 age check
1232,V165537,FTF SCREENER: SCRN_CIT. Roster 3 citizenship
1233,V165538,FTF SCREENER: SCRN_EDUC. Roster 3 education
1234,V165539,FTF SCREENER: SCRN_RES. Roster 4 residency
1235,V165540,FTF SCREENER: SCRN_SEX. Roster 4 sex
1236,V165541,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 4 age
1237,V165542,FTF SCREENER: Roster 4 age categories
1238,V165543,FTF SCREENER: CONFIRM2. Roster 4 confirm age
1239,V165544,FTF SCREENER: ELIG_CKAGE. Roster 4 age check
1240,V165545,FTF SCREENER: SCRN_CIT. Roster 4 citizenship
1241,V165546,FTF SCREENER: SCRN_EDUC. Roster 4 education
1242,V165547,FTF SCREENER: SCRN_RES. Roster 5 residency
1243,V165548,FTF SCREENER: SCRN_SEX. Roster 5 sex
1244,V165549,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 5 age
1245,V165550,FTF SCREENER: Roster 5 age categories
1246,V165551,FTF SCREENER: CONFIRM2. Roster 5 confirm age
1247,V165552,FTF SCREENER: ELIG_CKAGE. Roster 5 age check
1248,V165553,FTF SCREENER: SCRN_CIT. Roster 5 citizenship
1249,V165554,FTF SCREENER: SCRN_EDUC. Roster 5 education
1250,V165555,FTF SCREENER: SCRN_RES. Roster 6 residency
1251,V165556,FTF SCREENER: SCRN_SEX. Roster 6 sex
1252,V165557,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 6 age
1253,V165558,FTF SCREENER: Roster 6 age categories
1254,V165559,FTF SCREENER: CONFIRM2. Roster 6 confirm age
1255,V165560,FTF SCREENER: ELIG_CKAGE. Roster 6 age check
1256,V165561,FTF SCREENER: SCRN_CIT. Roster 6 citizenship
1257,V165562,FTF SCREENER: SCRN_EDUC. Roster 6 education
1258,V165563,FTF SCREENER: SCRN_RES. Roster 7 residency
1259,V165564,FTF SCREENER: SCRN_SEX. Roster 7 sex
1260,V165565,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 7 age
1261,V165566,FTF SCREENER: Roster 7 age categories
1262,V165567,FTF SCREENER: CONFIRM2. Roster 7 confirm age
1263,V165568,FTF SCREENER: ELIG_CKAGE. Roster 7 age check
1264,V165569,FTF SCREENER: SCRN_CIT. Roster 7 citizenship
1265,V165570,FTF SCREENER: SCRN_EDUC. Roster 7 education
1266,V165571,FTF SCREENER: SCRN_RES. Roster 8 residency
1267,V165572,FTF SCREENER: SCRN_SEX. Roster 8 sex
1268,V165573,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 8 age
1269,V165574,FTF SCREENER: Roster 8 age categories
1270,V165575,FTF SCREENER: CONFIRM2. Roster 8 confirm age
1271,V165576,FTF SCREENER: ELIG_CKAGE. Roster 8 age check
1272,V165577,FTF SCREENER: SCRN_CIT. Roster 8 citizenship
1273,V165578,FTF SCREENER: SCRN_EDUC. Roster 8 education
1274,V165579,FTF SCREENER: SCRN_RES. Roster 9 residency
1275,V165580,FTF SCREENER: SCRN_SEX. Roster 9 sex
1276,V165581,RESTRICTED. FTF SCREENER: SCRN_AGE. Roster 9 age
1277,V165582,FTF SCREENER: Roster 9 age categories
1278,V165583,FTF SCREENER: CONFIRM2. Roster 9 confirm age
1279,V165584,FTF SCREENER: ELIG_CKAGE. Roster 9 age check
1280,V165585,FTF SCREENER: SCRN_CIT. Roster 9 citizenship
1281,V165586,FTF SCREENER: SCRN_EDUC. Roster 9 education
1282,V165587,FTF SCREENER: Confirm no one missing from roster
1283,V165588,FTF SCREENER: Home is rented or owned
1284,V165589,FTF SCREENER: Any other person who receives mail here
1285,V165590,FTF SCREENER: Address of any hidden households
1286,V165591,FTF SCREENER: No one eligible from screener logic
1287,V165592,FTF SCREENER: Screener R selected for Pre
1288,V165593,FTF SCREENER: Is selected R (not screener) available
1289,V165594,FTF SCREENER: Did informant give legitimate SP phone number
1290,V165595,FTF SCREENER: Is the phone provided a cell phone
1291,V165596,FTF SCREENER: May we use text message at phone provided
1292,V165597,FTF SCREENER: Can selected person conduct interview in English
1293,V165598,FTF SCREENER: Can selected person conduct interview in Spanish
1294,V165599,FTF SCREENER: End screener
1295,V165600,FTF SCREENER: Was screener administered in English or Spanish
1296,V165601,RESTRICTED. FTF SCREENER: Selected person age
1297,V165602,FTF SCREENER: Selected person age categories
1298,V165603,FTF SCREENER: Selected person language
1299,V165604,FTF SCREENER: Number of adults in HH - summary
1300,V165605,FTF SCREENER: Number of eligible U.S. Citizen adults in HH - summary
1301,V165606,FTF SCREENER: Selection is Nth citizen listed in roster
1302,V165607,FTF SCREENER: Selection is Nth person listed in roster
1303,V165608,FTF SCREENER: Roster position selected for Pre (final summary)
1304,V165609,FTF SCREENER: Roster size
1305,V165700,"FTF SCREENER: Selection for Pre, Detailed"
1306,V165701,FTF SCREENER: Screener R selected for Pre
1307,V165702,WEB SCREENER: Screener completed
1308,V165703,WEB SCREENER: WEB screener check amount for Rs not selected for Pre
1309,V165704,WEB SCREENER: Interview start date (yyyymmdd)
1310,V165705,WEB SCREENER: Interview start time (hhmmss)
1311,V165706,WEB SCREENER: Interview end date (yyyymmdd)
1312,V165707,WEB SCREENER: Interview end time (hhmmss)
1313,V165708,WEB SCREENER: Question displayed when interview ended
1314,V165709,WEB SCREENER: Seed value
1315,V165710,WEB SCREENER: Interview engine version
1316,V165711,WEB SCREENER: Language of screener
1317,V165712,WEB SCREENER: S3. Address verification
1318,V165713,WEB SCREENER: S4. Nonresident
1319,V165714,WEB SCREENER: S5. Number of adults
1320,V165715,WEB SCREENER: S5a. Unusually large household
1321,V165716,WEB SCREENER: S5b1. Other living arrangement
1322,V165717,RESTRICTED. WEB SCREENER: S5b3. How many people in building
1323,V165718,WEB SCREENER: S5b3. How many people in building - topcoded
1324,V165719,WEB SCREENER: S5b4. Home have its own kitchen
1325,V165720,WEB SCREENER: S5b5. Pay rent or have another arrangement
1326,V165721,WEB SCREENER: S5d. Number of adults above 2
1327,V165722,WEB SCREENER: S6. HH citizenship
1328,V165723,WEB SCREENER: S6a. Singleton citizenship
1329,V165724,WEB SCREENER: S6b. R citizenship
1330,V165725,WEB SCREENER: S7. Gender
1331,V165726,WEB SCREENER: S8. Adult check
1332,V165727,WEB SCREENER: S10. CAMPINTSTD. Interest in campaigns
1333,V165728,WEB SCREENER: S10. PRESVTLAST. 2012 Turnout
1334,V165729,WEB SCREENER: S10. REGIST. Voter registration
1335,V165730,WEB SCREENER: S10. REGPTY. Party of registration
1336,V165731,RESTRICTED. WEB SCREENER: S10. REGPTY. Party of registration - Other
1337,V165732,RESTRICTED. WEB SCREENER: S10. FINFAM. Number of family members living with R
1338,V165733,WEB SCREENER: S10. FINFAM_x. Number of family members living with R - topcoded
1339,V165734,WEB SCREENER: S10. RHEALTH. Health
1340,V165735,WEB SCREENER: S10. Party Order. Randomization for party order
1341,V165736,WEB SCREENER: S10. RPTYID. 3-point party ID
1342,V165737,RESTRICTED. WEB SCREENER: S10. RPTYID_5. 3-point party ID - Other
1343,V165738,RESTRICTED. WEB SCREENER: S10. BIRTHYR. Year of birth
1344,V165739,WEB SCREENER: S10. BIRTHYR. Year of birth - topcoded
1345,V165740,RESTRICTED. WEB SCREENER: S10. BIRTHMO. Month of birth
1346,V165741,WEB SCREENER: S10. MARITAL. Marital status
1347,V165742,WEB SCREENER: S10. PARTN. Partnership status
1348,V165743,WEB SCREENER: S10. EDUCR. Educational attainment
1349,V165744,RESTRICTED. WEB SCREENER: S10. EDUCR. Educational attainment - Other
1350,V165745,WEB SCREENER: S10. EDUCSP. Spouse/partner educational attainment
1351,V165746,RESTRICTED. WEB SCREENER: S10. EDUCSP. Spouse/partner educ attainment - Other
1352,V165747,WEB SCREENER: S10. HISP. Ethnicity
1353,V165748,WEB SCREENER: S10. RACECPS1. White
1354,V165749,WEB SCREENER: S10. RACECPS2. Black or African-American
1355,V165750,WEB SCREENER: S10. RACECPS3. American Indian or Alaska Native
1356,V165751,WEB SCREENER: S10. RACECPS4. Asian
1357,V165752,WEB SCREENER: S10. RACECPS5. Native Hawaiian or other Pacific Islander
1358,V165753,WEB SCREENER: S10. RACECPS6. Other
1359,V165754,RESTRICTED. WEB SCREENER: S10. RACECPS95. Other - description
1360,V165755,WEB SCREENER: S10. OWNHOME. Home tenure
1361,V165756,RESTRICTED. WEB SCREENER: S10. LENADDR. Years at address
1362,V165757,WEB SCREENER: S10. LENADDR. Years at address - categories
1363,V165758,RESTRICTED. WEB SCREENER: S10. TOTINC. Family income
1364,V165759,WEB SCREENER: S10. TOTINC. Family income - categories
1365,V165760,WEB SCREENER: S10. TOTMISS40. Family income category
1366,V165761,WEB SCREENER: S101. Gender for roster person 1
1367,V165762,WEB SCREENER: S101. Gender for roster person 2
1368,V165763,WEB SCREENER: S101. Gender for roster person 3
1369,V165764,WEB SCREENER: S101. Gender for roster person 4
1370,V165765,WEB SCREENER: S101. Gender for roster person 5
1371,V165766,WEB SCREENER: S101. Gender for roster person 6
1372,V165767,WEB SCREENER: S101. Gender for roster person 7
1373,V165768,WEB SCREENER: S101. Gender for roster person 8
1374,V165769,WEB SCREENER: S101. Gender for roster person 9
1375,V165770,WEB SCREENER: S101. Gender for roster person 10
1376,V165771,WEB SCREENER: S102. Citizenship for roster person 1
1377,V165772,WEB SCREENER: S102. Citizenship for roster person 2
1378,V165773,WEB SCREENER: S102. Citizenship for roster person 3
1379,V165774,WEB SCREENER: S102. Citizenship for roster person 4
1380,V165775,WEB SCREENER: S102. Citizenship for roster person 5
1381,V165776,WEB SCREENER: S102. Citizenship for roster person 6
1382,V165777,WEB SCREENER: S102. Citizenship for roster person 7
1383,V165778,WEB SCREENER: S102. Citizenship for roster person 8
1384,V165779,WEB SCREENER: S102. Citizenship for roster person 9
1385,V165780,WEB SCREENER: S102. Citizenship for roster person 10
1386,V165781,RESTRICTED. WEB SCREENER: S103. Age for roster person 1
1387,V165782,RESTRICTED. WEB SCREENER: S103. Age for roster person 2
1388,V165783,RESTRICTED. WEB SCREENER: S103. Age for roster person 3
1389,V165784,RESTRICTED. WEB SCREENER: S103. Age for roster person 4
1390,V165785,RESTRICTED. WEB SCREENER: S103. Age for roster person 5
1391,V165786,RESTRICTED. WEB SCREENER: S103. Age for roster person 6
1392,V165787,RESTRICTED. WEB SCREENER: S103. Age for roster person 7
1393,V165788,RESTRICTED. WEB SCREENER: S103. Age for roster person 8
1394,V165789,RESTRICTED. WEB SCREENER: S103. Age for roster person 9
1395,V165790,RESTRICTED. WEB SCREENER: S103. Age for roster person 10
1396,V165791,WEB SCREENER: S103. Age categories for roster person 1
