var_name,description,question,valid_labels,missing_labels
women_works,Better ifman works and woman takes careof home,"Do you think it is better, worse, or makes no difference for the family as a whole if the man works outside the home and the woman takes care of the home andfamily?","1. Better
2. Worse
3. Makes no difference
1. Better
2. Worse
3. Makes no difference
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
women_worksbetter,How muchbetter if man works and womanat home,"Is it [much better, somewhat better, or slightly better / slightly better, some- what betteror much better]?","1. Much
2. Somewhat
3. Slightly
1. Much
2. Somewhat
3. Slightly
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
"
women_worksworse,How muchworse if man works and womanat home,"Isit[muchworse,somewhatworse,orslightlyworse/slightlyworse,some- what worseor much worse]?","1. Much
2. Somewhat
3. Slightly
1. Much
2. Somewhat
3. Slightly
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-9. Refused
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
-9. Refused
"
women_works_x,POST:SUMMARY-Better ifman works and woman takes careof home,,"1. Muchbetter
2. Somewhat better
3. Slightly better
4. Makes no difference
5. Slightly worse
6. Somewhatworse
7. Much worse
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election)interview
-8. Don't know
-9. Refused
"
modsex_discamt,Discrimination againstwomen,"How serious a problem is discrimination against women in the United States? [Not a problem at all, a minor problem, a moderately serious prob- lem,averyseriousproblem,oranextremelyseriousproblem/Anextremely serious problem, a very serious problem, a moderately serious problem, a minor problem,or not a problem at all]?","1. Nota problem at all
2. A minor problem
3. Amoderately serious problem
4. A very serious problem
5. An extremelyserious problem
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
modsex_media,Media paymore attention to discrimination,"Shouldthenewsmediapaymoreattentiontodiscriminationagainstwomen, lessattention,orthesameamountofattentiontheyhavebeenpayinglately?","1. More attention
2. Less attention
3. Same amount of attention
1. More attention
2. Less attention
3. Same amount of attention
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election)interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
modsex_mediamore,How muchmore attn should media pay todiscrim agst women,"Should the media pay [a great deal more attention, somewhat more atten- tion,oralittlemoreattention/alittlemoreattention,somewhatmoreatten- tion, ora great deal more attention]?","1. Agreat deal
2. Somewhat
3. A little
1. A great deal
2. Somewhat
3. A little
","-1. Inapplicable
-6. Not asked, unit nonresponse(no post-election
-7. Deleted due topartial (post-election) interview
-9. Refused
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
-9. Refused
"
modsex_medialess,How muchless attn should media pay todiscrim agst women,"Shouldthemediapay[agreatdeallessattention,somewhatlessattention, oralittlelessattention/alittlelessattention,somewhatlessattention,ora great dealless attention]?","1. A great deal
2. Somewhat
3. A little
1. A great deal
2. Somewhat
3. A little
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
"
modsex_media_x,POST: SUMMARY- How much attn media should pay to discrim against,,"1. A great deal more
2. Somewhat more
3. Alittle more
4. Same amount of attention
5. A little less
6. Somewhatless
7. A great dealless
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election)interview
-8. Don't know
-9. Refused
"
modsex_special,Do womendemanding equality seek special favors,"When women demand equality these days, how often are they actually seekingspecialfavors? [Never,someofthetime,abouthalfthetime,most of the time, or always / Always, most of the time, about half the time, some of thetime, or never] ?","1. Never
2. Someof the time
3. About half the time
4. Most of the time
5. Always
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
modsex_disc,How oftendo hiring and promotion discriminate agstwomen,"Whenemployersmakedecisionsabouthiringandpromotion,howoftendo they discriminate against women? [Never, some of the time, about half the time, most of the time, or always / Always, most of the time, about half the time, someof the time, or never]?","1. Never
2. Some ofthe time
3. Abouthalf the time
4. Mostof the time
5. Always
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
"
modsex_prob,Do womencomplaining about discrim cause more problems,"Whenwomencomplainaboutdiscrimination,howoftendotheycausemore problems than they solve? [Never, some of the time, about half the time, most of the time, or always / Always, most of the time, about half the time, some ofthe time, or never]?","1. Never
2. Someof the time
3. About half the time
4. Most of the time
5. Always
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
modsex_oppor,Do womenor men have more opport forachievmt in the U.S.,"In the U.S. today, do men have more opportunities for achievement than womenhave,dowomenhavemoreopportunitiesthanmen,ordotheyhave equal opportunities?","1. Menhave more
2. Womenhave more
3. Equal opportunities
1. Men havemore
2. Womenhave more
3. Equal opportunities
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
modsex_menmore,How muchmore opportunities for achievement do menhave,"Domenhave[manymoreopportunities,moderatelymoreopportunities,or slightly more opportunities / slightly more opportunities, moderately more opportunities ormany more opportunities]?","1. Many more
2. Moderately more
3. Slightlymore
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
modsex_wommore,How muchmore opportunities for achievement do womenhave,"Dowomenhave[manymoreopportunities,moderatelymoreopportunities, orslightlymoreopportunities/slightlymoreopportunities,moderatelymore opportunities ormany more opportunities]?","1. Many more
2. Moderately more
3. Slightly more
1. Many more
2. Moderately more
3. Slightly more
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
"
modsex_oppor_x,POST:SUMMARY-Opportunities comparedfor women and men,,"1. Men havemany more
2. Men have moderatelymore
3. Men have slightlymore
4. Equal opportunities
5. Womenhave slightly more
6. Womenhave moderately more
7. Womenhave many more
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
aapost_hire,For oragainst preferential hiring/promotion of blacks,"Whataboutyouropinion--areyouFORorAGAINSTpreferentialhiringand promotion ofblacks? WebLogic: Online,bank with AFFIRM_AFFINTRO. Omit response option5.","1. For preferential hiring andpromotion of Blacks
2. Against preferential hiringand promotion of
5. Other (SPECIFY)(VOL)
6. Other specify response recoded: against
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
"
aapost_hire_oth,POST:Other specify- for or against pref hiring/promotionof blacks,,,"-2. Textresponses available in separatefile
-2. Textresponses available in separatefile
"
aapost_hirefav,Strength favorpreferential hiring/promotion of blacks,Do you favor preference in hiring and promotion STRONGLY or NOT STRONGLY?,"1. Strongly
2. Not strongly
1. Strongly
2. Notstrongly
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
aapost_hireopp,Strength opposepreferential hiring/promotion blacks,Do you oppose preference in hiring and promotion STRONGLY or NOT STRONGLY?,"1. Strongly
2. Not strongly
1. Strongly
2. Notstrongly
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election)interview
-8. Don't know
-9. Refused
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
aapost_hire_x,POST:SUMMARY-Favor preferentialhiring and promotion of blacks,,"1. Strongly for preferential hiring and promotionof
2. Not stronglyfor preferential hiring and promotion
4. Not strongly against preferential hiringand
5. Stronglyagainst preferential hiring and promotion
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
auth_ind,Child traitmore important: independence orrespect,"Please tell me which one you think is more important for a child to have: INDEPENDENCE orRESPECT FOR ELDERS WebLogic: Online,thestembeforethetwotraitsshouldbe,'Whichoneismoreimpor- tant fora child to have?' Omit response options 3 and 4.","1. Independence
2. Respectfor elders
3. Both (VOL)
4. Neither (VOL)
1. Independence
2. Respectfor elders
3. Both (VOL)
4. Neither (VOL)
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
auth_cur,Child traitmore important: curiosity orgood manners,"(Which one is more important for a child to have:) CURIOSITY or GOOD MANNERS WebLogic: Online,thestembeforethetwotraitsshouldbe,'Whichoneismoreimpor- tant fora child to have?' Omit response options 3 and 4.","1. Curiosity
2. Good manners
3. Both (VOL)
1. Curiosity
2. Good manners
3. Both (VOL)
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
auth_obed,Child traitmore important: obedience orself-reliance,"(Which one is more important for a child to have:) OBEDIENCE or SELF- RELIANCE WebLogic: Online,thestembeforethetwotraitsshouldbe,'Whichoneismoreimpor- tant fora child to have?' Omit response options 3 and 4.","1. Obedience
2. Self-reliance
3. Both (VOL)
4. Neither (VOL)
1. Obedience
2. Self-reliance
3. Both (VOL)
4. Neither (VOL)
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
auth_consid,Child traitmore important: considerate orwell-behaved,"(Which one is more important for a child to have:) BEING CONSIDERATE or WELLBEHAVED WebLogic: Online,thestembeforethetwotraitsshouldbe,'Whichoneismoreimpor- tant fora child to have?' Omit response options 3 and 4.","1. Being considerate
2. Wellbehaved
3. Both (VOL)
1. Being considerate
2. Wellbehaved
3. Both (VOL)
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
egal_equal,Society shouldmake sure everyone has equal opportunity,"(Looking at page [[preload: postpg_g] / [preload:postpg_h]] in the book- let) 'Our society should do whatever is necessary to make sure that every- one has an equal opportunity to succeed.' (Do you [AGREE STRONGLY, AGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, DISAGREE SOMEWHAT, or DISAGREE STRONGLY / DISAGREE STRONGLY, DISAGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, AGREE SOMEWHAT,orAGREE STRONGLY]with thisstatement?) Logic: This question is forward/reverse although not unipolar. If forward order of response options is set, then page number is postpg_g; if reverse order of response optionsis set, then page number ispostpg_h. WebLogic: Online,omit booklet reference. Bankwith EGAL_EGALINTRO.","1. Agree strongly
2. Agree somewhat
3. Neitheragree nor disagree
4. Disagree somewhat
5. Disagree strongly
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
"
egal_toofar,Wehave gone too far pushing equal rights,"(Looking at page [[preload: postpg_g] / [preload:postpg_h]] in the book- let) 'We have gone too far in pushing equal rights in this country.' (Do you [AGREE STRONGLY, AGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, DISAGREE SOMEWHAT, or DISAGREE STRONGLY / DIS- AGREE STRONGLY, DISAGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE,AGREESOMEWHAT,orAGREESTRONGLY]withthisstate- ment?) Logic: This question is forward/reverse although not unipolar. If forward order of response options is set, then page number is postpg_g; if reverse order of response optionsis set, then page number ispostpg_h. WebLogic: Online,omit booklet reference.","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
egal_bigprob,Its abig problem that we dont giveequal chance to succeed,"(Looking at page [[preload: postpg_g] / [preload:postpg_h]] in the book- let) 'One of the big problems in this country is that we don't give everyone an equal chance.' (Do you [AGREE STRONGLY, AGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, DISAGREE SOMEWHAT, or DIS- AGREE STRONGLY / DISAGREE STRONGLY, DISAGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, AGREE SOMEWHAT, or AGREE STRONGLY]with this statement?) Logic: This question is forward/reverse although not unipolar. If forward order of response options is set, then page number is postpg_g; if reverse order of response optionsis set, then page number ispostpg_h. WebLogic: Online,omit booklet reference.","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
egal_worryless,We'dbe better offif worried lessabout equality,"(Looking at page [[preload: postpg_g] / [preload:postpg_h]] in the book- let) 'This country would be better off if we worried less about how equal people are.' (Do you [AGREE STRONGLY, AGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, DISAGREE SOMEWHAT, or DIS- AGREE STRONGLY / DISAGREE STRONGLY, DISAGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, AGREE SOMEWHAT, or AGREE STRONGLY]with this statement?) Logic: This question is forward/reverse although not unipolar. If forward order of response options is set, then page number is postpg_g; if reverse order of response optionsis set, then page number ispostpg_h. WebLogic: Online,omit booklet reference.","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
egal_notbigprob,Not abig problem if some have morechance in life,"(Looking at page [[preload: postpg_g] / [preload:postpg_h]] in the booklet) 'It is not really that big a problem if some people have more of a chance in life than others.' (Do you [AGREE STRONGLY, AGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, DISAGREE SOMEWHAT, or DIS- AGREE STRONGLY / DISAGREE STRONGLY, DISAGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, AGREE SOMEWHAT, or AGREE STRONGLY]with this statement?) Logic: This question is forward/reverse although not unipolar. If forward order of response options is set, then page number is postpg_g; if reverse order of response optionsis set, then page number ispostpg_h. WebLogic: Online,omit booklet reference.","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
egal_fewerprobs,If peoplewere treated more fairly would befewer probs,"(Looking at page [[preload: postpg_g] / [preload:postpg_h]] in the booklet) 'If people were treated more equally in this country we would have many fewer problems.' (Do you [AGREE STRONGLY, AGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, DISAGREE SOMEWHAT, or DIS- AGREE STRONGLY / DISAGREE STRONGLY, DISAGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, AGREE SOMEWHAT, or AGREE STRONGLY]with this statement?) Logic: This question is forward/reverse although not unipolar. If forward order of response options is set, then page number is postpg_g; if reverse order of response optionsis set, then page number ispostpg_h. WebLogic: Online,omit booklet reference.","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
wiretappo_toofar,Has increasein govt wiretap powers gone toofar,"Have increases in the government's wiretapping powers since September 11,2001,gonetoofar,aretheyjustaboutright,ordotheynotgofarenough?","1. Have gone too far
2. Are just about right
3. Donot go far enough
1. Havegone too far
2. Are just about right
3. Do not gofar enough
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
cog_opinions,"Does Rhave opinions about many,someor few things","What about you? Would you say you have opinions about [ALMOST EV- ERYTHING, about MANY THINGS, about SOME THINGS, or about VERY FEW THINGS / VERY FEW THINGS, about SOME THINGS, about MANY THINGS, orabout ALMOST EVERYTHING]? WebLogic: Online,bank with COG_COGINT.","1. Almosteverything
2. Many things
3. Some things
4. Veryfew things
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cog_opin,Does Rhave fewer or more opinions thanaverage person,"Compared to the average person do you have FEWER opinions about whetherthingsaregoodorbad,ABOUTTHESAMEnumberofopinions,or MORE opinions?","1. Fewer opinions
2. About the same numberof opinions
3. More opinions
1. Fewer opinions
2. About the same numberof
3. More opinions
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
cog_opinfew,R havea lot or somewhat fewer opinionsthan average,Would you say that you have A LOT fewer opinions or just SOMEWHAT fewer opinions?,"1. A lot
2. Somewhat
1. A lot
2. Somewhat
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
"
cog_opinmore,R havea lot or somewhat more opinionsthan average,Would you say that you have A LOT more opinions or just SOMEWHAT more opinions?,"1. A lot
2. Somewhat
1. A lot
2. Somewhat
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
"
cog_opin_x,POST:SUMMARY-NumberofopinionsRhascomparedtoaverageperson,,"1. Alot fewer opinions than the averageperson
2. Somewhat fewer opinionsthan the average
3. About the same numberof opinions
4. Somewhat more opinions thanthe average
5. A lotmore opinions than the average person
1. A lot fewer opinions than
2. Somewhat fewer opinions
3. About the same numberof
4. Somewhatmore opinions
5. A lot more opinions than
","-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
nonmain_born,Wasthe President born in the U.S.,"WasBarackObamadefinitelybornintheUnitedStates,probablyborninthe UnitedStates,probablyborninanothercountry,ordefinitelyborninanother country?","1. Definitely born in theU.S.
2. Probably born in the U.S.
3. Probably born in anothercountry
4. Definitely born inanother country
1. Definitely born in the U.S.
2. Probably born in the U.S.
3. Probably bornin another
4. Definitely bornin another
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election)interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
nonmain_endlife,Does HealthCare Act authorize end-of-life decision,"Does the health care law passed in 2010 definitely authorize government panels to make end-of-life decisions for people on Medicare, probably au- thorizegovernmentpanelstomakeend-of-lifedecisionsforpeopleonMedi- care, probably not authorize government panels to make end-of-life deci- sionsforpeopleonMedicare,ordefinitelynotauthorizegovernmentpanels to makeend-of-life decisions for people on Medicare?","1. Definitely authorizes
2. Probably authorizes
3. Probably does not authorize
4. Definitely does not authorize
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election)interview
-8. Don't know
-9. Refused
"
nonmain_govt911,DId theU.S. government know about 9/11in advance,"Didseniorfederalgovernmentofficialsdefinitelyknowabouttheterroristat- tacks on September 11, 2001 before they happened, probably knew about theterroristattacksonSeptember11,2001beforetheyhappened,probably didnotknowabouttheterroristattacksonSeptember11,2001beforethey happened,ordefinitelydidnotknowabouttheterroristattacksonSeptem- ber 11,2001 before they happened?","1. Definitely knew
2. Probably knew
3. Probably did notknow
4. Definitely did notknow
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election)interview
-8. Don't know
-9. Refused
"
nonmain_bias,Does theAdministration favor blacks or whites,"DothepoliciesoftheObamaadministrationfavorwhitesoverblacks,favor blacks overwhites, or do they treat bothgroups the same?","1. Favors Whites overBlacks
2. Favors Blacks overWhites
3. Treatsboth groupsthe same
1. FavorsWhites over Blacks
2. FavorsBlacks over Whites
3. Treatsboth groups the
","-6. Not asked, unit nonresponse(no post-election
-7. Deleted due topartial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
nonmain_hurric,Did thegovt direct Katrina flooding into poorareas,"SomepeoplesaythatwhenHurricaneKatrinahittheGulfCoastinthesum- mer of 2005, the federal government intentionally breached flood levees in NewOrleanssothatpoorneighborhoodswouldbefloodedandmiddle-class neighborhoodswouldbespared. Doyouthinkthefederalgovernmentdefi- nitelydidthis,probablydidthis,probablydidnotdothis,ordefinitelydidnot do this?","1. Definitelydid this
2. Probably did this
3. Probablydid not do this
4. Definitely did not do this
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_exphlth,CSES: Publicexpenditure Health,"ThinkingaboutpublicexpenditureonHEALTH,shouldtherebe[muchmore thannow,somewhatmorethannow,thesameasnow,somewhatlessthan now,ormuchlessthannow/muchlessthannow,somewhatlessthannow, the sameas now,somewhat more thannow,or much more thannow]? Logic: AllCSESexpenditurequestionsareforward/reversealthoughnotunipolar. WebLogic: Online, for all CSES expenditure questions, set the expenditure area (health, welfarebenefits, Social Security,etc.) in lower case boldface.","1. Much more than now
2. Somewhatmore than now
3. The sameas now
4. Somewhat less thannow
5. Muchless than now
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_expeduc,CSES: Publicexpenditure: eduction,"Thinking about public expenditure on EDUCATION, should there be [much morethannow,somewhatmorethannow,thesameasnow,somewhatless thannow,ormuchlessthannow/muchlessthannow,somewhatlessthan now,thesameasnow,somewhatmorethannow,ormuchmorethannow]?","1. Much more than now
2. Somewhatmore than now
3. The sameas now
4. Somewhat less thannow
5. Muchless than now
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_expunemp,CSES: Publicexpenditure: unemployment benefits,"Thinking about public expenditure on UNEMPLOYMENT BENEFITS, should there be -- ([much more than now, somewhat more than now, the sameasnow,somewhatlessthannow,ormuchlessthannow/muchless thannow,somewhatlessthannow,thesameasnow,somewhatmorethan now,or much more than now])?","1. Much more than now
2. Somewhatmore than now
3. The sameas now
4. Somewhat less thannow
5. Muchless than now
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_expdef,CSES: Publicexpenditure: defense,"ThinkingaboutpublicexpenditureonDEFENSE,shouldtherebe--([much more than now, somewhat more than now, the same as now, somewhat less than now, or much less than now) / much less than now, somewhat less than now, the same as now, somewhat more than now, or much more than now])?","1. Much more than now
2. Somewhatmore than now
3. The sameas now
4. Somewhat less thannow
5. Muchless than now
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_expss,CSES: Publicexpenditure: pensions,"Thinking about public expenditure on SOCIAL SECURITY, should there be -- ([much more than now, somewhat more than now, the same as now, somewhat less than now, or much less than now / much less than now, somewhat less than now, the same as now, somewhat more than now, or much morethan now])?","1. Much more than now
2. Somewhatmore than now
3. The sameas now
4. Somewhat less thannow
5. Muchless than now
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_expbusind,CSES: Publicexpenditure: business and industry,"Thinking about public expenditure on BUSINESS AND INDUSTRY, should there be -- ([much more than now, somewhat more than now, the same as now,somewhatlessthannow,ormuchlessthannow/muchlessthannow, somewhat less than now, the same as now, somewhat more than now, or much morethan now])?","1. Much more than now
2. Somewhatmore than now
3. The sameas now
4. Somewhat less thannow
5. Muchless than now
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_exppolc,CSES: Publicexpenditure: police and lawenforcement,"ThinkingaboutpublicexpenditureonPOLICEANDLAWENFORCEMENT, should there be -- ([much more than now, somewhat more than now, the sameasnow,somewhatlessthannow,ormuchlessthannow/muchless thannow,somewhatlessthannow,thesameasnow,somewhatmorethan now,or much more than now])?","1. Much more than now
2. Somewhatmore than now
3. The sameas now
4. Somewhat less thannow
5. Muchless than now
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_expwelf,CSES: Publicexpenditure: welfare benefits,"Thinking about public expenditure on WELFARE BENEFITS, should there be -- ([much more than now, somewhat more than now, the same as now, somewhat less than now, or much less than now / much less than now, somewhat less than now, the same as now, somewhat more than now, or much morethan now])?","1. Much more than now
2. Somewhatmore than now
3. The sameas now
4. Somewhat less thannow
5. Muchless than now
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
cses_impstdliv,CSES: CSES:Improving standard of living,"Overthenexttenyearsorso,howlikelyorunlikelyisitthatyouwillimprove your standard of living? Very likely, somewhat likely, somewhat unlikely, or very unlikely?","1. Verylikely
2. Somewhat likely
4. Somewhat unlikely
5. Veryunlikely
1. Verylikely
2. Somewhat likely
4. Somewhat unlikely
5. Veryunlikely
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election)interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
cses_econ,CSES: Stateof economy,"Would you say that over the past twelve months, the state of the economy in the United States has gotten better, stayed about the same, or gotten worse?","1. Gotten better
2. Stayed the same
3. Gotten worse
1. Gottenbetter
2. Stayed the same
3. Gotten worse
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
-6. Not asked, unit
-7. Deleted due to partial
-8. Don't know
-9. Refused
"
cses_econb,CSES: Stateof economy better,Wouldyou say much better or somewhat better?,"1. Muchbetter
2. Somewhat better
1. Much better
2. Somewhat better
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-9. Refused
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
-9. Refused
"
cses_econw,CSES: Stateof economy worse,Wouldyou say much worse or somewhat worse?,"1. Much worse
2. Somewhat worse
1. Much worse
2. Somewhat worse
","-1. Inapplicable
-6. Notasked, unit nonresponse (no post-election
-7. Deleteddue to partial (post-election) interview
-1. Inapplicable
-6. Not asked, unit
-7. Deleted due to partial
"
cses_govtact,CSES: Govtaction income inequality,"Please say to what extent you agree or disagree with the following state- ment: 'The government should take measures to reduce differences in income levels.' Do you [AGREE STRONGLY, AGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, DISAGREE SOMEWHAT, or DIS- AGREE STRONGLY / DISAGREE STRONGLY, DISAGREE SOMEWHAT, NEITHER AGREE NOR DISAGREE, AGREE SOMEWHAT, or AGREE STRONGLY]with this statement? Logic: This questionis forward/reverse although not unipolar.","1. Agree strongly
2. Agree somewhat
3. Neither agree nor disagree
4. Disagree somewhat
5. Disagree strongly
","-6. Notasked, unit nonresponse (no post-election
-7. Deleted due to partial (post-election) interview
-8. Don't know
-9. Refused
"
